date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-22,73,72.530000,58.532738,124.324804,0.797390,68.348600,1.800000,0.290000
2020-06-23,74,73.200000,60.906989,121.364154,0.848979,68.602200,0.826450,0.780000
2020-06-24,70,71.640000,53.260521,118.386628,0.830969,68.769800,-2.080000,-0.100000
2020-06-25,72,72.060000,54.902093,115.456419,0.805334,68.953600,0.698710,1.170000
2020-06-26,54,68.130000,40.550503,111.730234,1.147889,69.058800,-4.890000,-6.070000
2020-06-29,65,69.860000,47.105331,108.217982,1.215813,69.177000,2.710000,-4.560000
2020-06-30,68,70.900000,50.629468,105.051711,1.219145,69.333800,1.520000,-1.030000
2020-07-01,70,72.100000,54.404298,102.201087,1.221901,69.563600,1.610000,0.060000
2020-07-02,73,73.500000,58.400514,99.698453,1.276153,69.775200,1.250000,7.880000
2020-07-06,75,74.980000,62.174723,97.450039,1.463615,70.003600,0.766030,7.330000
2020-07-07,74,74.500000,60.265015,95.403365,1.571316,70.217000,-0.414380,5.080000
2020-07-08,74,75.180000,62.043667,93.502882,1.718704,70.449800,0.186570,4.270000
2020-07-09,75,75.930000,63.959865,91.809739,1.900275,70.735800,0.569540,3.310000
2020-07-10,76,76.950000,66.441208,90.286954,2.096391,70.932600,1.700000,2.630000
2020-07-13,72,75.610000,60.543837,89.012262,2.149428,71.098200,-2.440000,1.490000
2020-07-14,73,76.040000,61.718094,87.333324,2.219806,71.301600,1.880000,1.140000
2020-07-15,72,75.840000,60.811568,85.842791,2.293278,71.495400,-0.420170,-0.120000
2020-07-16,71,75.750000,60.381765,84.212690,2.352776,71.661400,0.892380,-1.560000
2020-07-17,71,75.840000,60.681046,82.743628,2.378071,71.832800,-0.013184,0.300000
2020-07-20,75,78.190000,67.569747,81.641174,2.512903,72.027400,3.220000,2.830000
2020-07-21,73,77.800000,65.518213,80.713388,2.625389,72.199000,-1.830000,2.580000
2020-07-22,74,78.240000,66.744963,79.579854,2.755947,72.360200,0.578480,3.290000
2020-07-23,69,75.840000,55.207547,77.559942,2.692973,72.501800,-3.140000,0.000000
2020-07-24,68,75.410000,53.425654,75.133552,2.629354,72.661600,0.600320,-3.560000
2020-07-27,70,76.470000,57.101424,73.101426,2.151746,72.834200,1.070000,-1.710000
2020-07-28,68,75.180000,51.748759,70.895580,1.763167,72.964800,-1.400000,-3.910000
2020-07-29,72,76.180000,55.250668,68.930415,1.413359,73.103200,1.240000,0.450000
2020-07-30,74,76.920000,57.697361,66.876711,1.152844,73.267200,2.700000,2.000000
2020-07-31,68,74.400000,48.060508,63.840279,1.068152,73.346000,-0.601200,-2.710000
2020-08-03,67,74.140000,47.184840,61.020734,1.124898,73.422000,-0.549970,-1.380000
2020-08-04,66,73.670000,45.568528,58.187892,1.193448,73.482200,-0.901260,-3.290000
2020-08-05,66,73.950000,46.739041,55.557396,1.262719,73.539800,0.148970,-3.860000
2020-08-06,69,75.250000,51.909785,53.423801,1.271052,73.624600,1.950000,1.140000
2020-08-07,69,74.920000,50.567729,51.697618,1.262860,73.704800,-0.702450,1.050000
2020-08-10,69,74.840000,50.228702,49.799855,1.279149,73.768000,0.402470,1.590000
2020-08-11,67,74.030000,46.806918,48.103710,1.329861,73.813800,-0.896920,0.110000
2020-08-12,69,75.360000,52.525780,46.554936,1.330421,73.878600,1.340000,0.150000
2020-08-13,70,75.830000,54.391851,45.651027,1.330929,73.956000,0.556960,1.210000
2020-08-14,69,75.230000,51.603257,44.446919,1.332595,74.046200,-0.594610,0.520000
2020-08-17,72,75.810000,54.055409,43.418050,1.194430,74.122400,0.013193,2.400000
2020-08-18,76,77.790000,61.269844,43.147096,1.193458,74.230200,1.940000,3.220000
2020-08-19,73,77.230000,58.473231,43.101034,1.092396,74.322800,-0.502450,1.850000
2020-08-20,76,78.810000,63.531046,43.258771,1.317695,74.434200,2.350000,4.760000
2020-08-21,75,78.780000,63.373218,43.603620,1.490475,74.607800,0.241760,3.920000
2020-08-24,74,79.260000,64.876716,44.198980,1.671846,74.780000,-0.452150,1.890000
2020-08-25,75,80.290000,67.919852,44.751813,1.917865,74.965000,1.620000,3.960000
2020-08-26,76,82.210000,72.672862,45.890498,2.330833,75.162800,2.350000,4.310000
2020-08-27,73,81.430000,68.248952,46.947849,2.572396,75.338800,-1.090000,3.360000
2020-08-28,73,81.970000,69.627433,47.929674,2.761748,75.544000,0.613720,3.420000
2020-08-31,72,81.480000,66.793670,48.887069,2.838616,75.749000,-0.851790,1.480000
2020-09-01,75,82.750000,70.181081,49.980607,2.929292,75.953400,1.400000,0.660000
2020-09-02,78,85.870000,76.518456,51.681217,3.266181,76.206800,2.960000,5.450000
2020-09-03,68,81.480000,57.879008,50.974883,3.242467,76.403600,-4.120000,-0.600000
2020-09-04,64,79.060000,50.566515,48.202934,3.120007,76.543600,-1.730000,-2.970000
2020-09-08,52,76.180000,43.519713,45.111952,3.043941,76.704600,-0.091803,-7.940000
2020-09-09,61,77.360000,46.791497,42.311598,2.850112,76.854600,-0.103310,-9.910000
2020-09-10,52,76.300000,44.308463,40.038788,2.793439,76.962600,-1.560000,-6.360000
2020-09-11,50,75.790000,43.122772,37.238734,2.795905,77.036400,-0.811410,-4.140000
2020-09-14,49,75.440000,42.286458,35.065507,2.781128,77.075200,-1.490000,-0.970000
2020-09-15,51,76.760000,46.500531,33.047512,2.729353,77.110800,0.484360,-0.780000
2020-09-16,48,75.600000,43.494928,30.878371,2.830282,77.132800,-1.970000,-0.920000
2020-09-17,46,74.350000,40.460078,29.670260,2.995424,77.116200,0.080765,-1.900000
2020-09-18,42,72.550000,36.509574,29.153866,3.315047,77.048600,-2.510000,-3.830000
