date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-02,53,197.400000,48.755110,119.776581,8.417265,193.341200,-2.520000,4.340000
2020-07-06,59,207.360000,55.584257,116.112861,7.846905,193.987400,2.990000,7.180000
2020-07-07,53,199.360000,49.839108,112.549184,6.818731,194.434600,-2.990000,0.880000
2020-07-08,57,202.250000,51.778144,109.225025,5.807950,194.808800,1.360000,2.370000
2020-07-09,53,196.830000,48.028374,105.767948,5.223059,195.005200,-2.610000,-0.290000
2020-07-10,59,205.560000,53.828438,102.644469,5.075137,195.315800,4.410000,-0.870000
2020-07-13,61,208.880000,55.846528,99.893110,5.326932,195.825000,-0.057416,4.780000
2020-07-14,63,214.010000,58.840188,97.367985,5.886504,196.563200,1.220000,5.810000
2020-07-15,64,216.900000,60.466371,95.260743,6.526000,197.380600,-3.330000,10.200000
2020-07-16,62,214.670000,58.544288,93.173730,7.005357,198.108000,0.543300,4.430000
2020-07-17,59,211.410000,55.754108,90.979059,7.241422,198.797800,-1.620000,1.210000
2020-07-20,59,211.710000,55.962110,88.822164,7.450441,199.385600,0.465050,-1.070000
2020-07-21,59,212.020000,56.191289,86.838992,7.657051,199.918200,-0.108360,-2.250000
2020-07-22,54,206.000000,50.675968,84.351229,7.665443,200.375000,-2.140000,-4.040000
2020-07-23,52,203.020000,48.156212,81.627463,7.534804,200.891200,-1.010000,-3.970000
2020-07-24,44,201.470000,46.851309,79.004304,7.541927,201.484600,-0.753690,-4.840000
2020-07-27,53,203.020000,48.358304,76.336233,6.709724,202.056000,1.460000,-4.240000
2020-07-28,45,201.620000,47.060363,73.858739,6.225506,202.651000,-0.143630,-2.130000
2020-07-29,46,202.580000,48.089252,71.339285,6.004145,203.065000,0.436290,-0.220000
2020-07-30,44,199.530000,45.090850,68.504882,5.885769,203.499000,0.015038,-0.960000
2020-07-31,42,197.960000,43.584392,65.872937,5.847042,203.829400,-0.940750,-2.490000
2020-08-03,43,199.390000,45.374523,63.432396,5.997349,204.215200,0.453420,-1.110000
2020-08-04,45,201.640000,48.161719,61.329242,5.902189,204.649400,1.150000,-0.460000
2020-08-05,47,204.520000,51.568137,59.645111,5.859822,204.818600,0.664470,2.500000
2020-08-06,47,204.250000,51.228268,58.208285,5.515242,204.710400,-0.365850,3.180000
2020-08-07,58,208.270000,55.889692,57.088258,5.535823,204.851400,2.350000,4.450000
2020-08-10,58,209.380000,57.108691,56.202875,5.549237,205.109200,-0.100200,3.840000
2020-08-11,59,211.060000,58.957395,55.863210,5.375329,205.331800,-0.780370,3.200000
2020-08-12,60,212.130000,60.135921,55.270969,4.978518,205.491600,-1.200000,3.860000
2020-08-13,58,208.390000,54.269998,54.368919,4.591036,205.448000,-0.960030,0.060000
2020-08-14,58,207.970000,53.637252,53.286774,4.426718,205.311000,0.245830,-0.670000
2020-08-17,46,203.070000,46.783950,51.397342,4.195286,205.014000,-1.900000,-3.790000
2020-08-18,46,201.310000,44.580615,49.348566,3.922414,204.624000,-1.050000,-5.100000
2020-08-19,47,203.020000,47.183310,47.766701,3.912696,204.322400,0.306320,-2.580000
2020-08-20,47,201.850000,45.605160,45.986443,3.938265,204.089000,0.542940,-2.940000
2020-08-21,47,202.430000,46.559406,44.217144,3.911415,204.255000,1.160000,-0.320000
2020-08-24,58,207.340000,53.927889,43.140561,3.960940,204.366200,2.080000,3.000000
2020-08-25,57,206.000000,51.827615,42.521342,3.922883,204.360000,-1.900000,1.470000
2020-08-26,58,207.220000,53.599460,41.910908,3.933485,204.312600,0.645980,2.660000
2020-08-27,60,210.150000,57.630127,42.002862,3.897956,204.391800,1.680000,3.810000
2020-08-28,58,207.710000,53.464981,42.088248,3.533725,204.469200,-1.970000,0.180000
2020-08-31,56,204.870000,49.023779,41.254635,3.220379,204.534000,-0.306570,-0.550000
2020-09-01,57,205.460000,49.953859,40.322838,3.057643,204.574800,0.913560,-0.850000
2020-09-02,60,210.040000,56.577086,40.023751,3.130962,204.680000,2.070000,-0.050000
2020-09-03,66,207.560000,52.523637,40.238976,3.089792,204.870800,-1.980000,-0.070000
2020-09-04,68,210.940000,57.041027,40.299728,3.207523,204.947600,0.023709,2.960000
2020-09-08,55,202.480000,45.397586,39.305130,3.291661,205.213400,-3.360000,-1.450000
2020-09-09,54,202.220000,45.092948,38.381574,3.249632,205.388400,-0.964790,-3.720000
2020-09-10,52,200.010000,42.483321,36.901527,3.199832,205.436200,-1.830000,-3.640000
2020-09-11,52,200.920000,43.922432,35.378867,3.275993,205.503200,0.339590,-4.750000
2020-09-14,52,201.340000,44.611267,34.219275,3.306988,205.582000,-0.964090,-0.560000
2020-09-15,48,198.000000,40.364959,32.454902,3.610089,205.394800,-1.980000,-2.090000
2020-09-16,51,200.680000,44.897212,31.059984,3.640784,205.421200,1.100000,0.330000
2020-09-17,45,194.830000,38.091868,28.904716,4.202781,205.272800,-1.710000,-3.030000
2020-09-18,44,194.860000,38.143651,27.240014,4.643137,205.233400,-0.076919,-3.220000
2020-09-21,44,194.000000,37.183522,26.622163,5.103880,205.002200,2.160000,-2.020000
2020-09-22,40,191.620000,34.588715,25.573024,5.611270,204.657000,-1.230000,-4.510000
2020-09-23,36,186.120000,29.470561,25.056919,6.587222,204.099200,-3.060000,-4.470000
2020-09-24,43,195.110000,44.045208,23.545506,6.594916,203.663400,3.240000,0.130000
2020-09-25,43,194.950000,43.871448,22.142050,6.362172,203.269000,1.030000,0.490000
2020-09-28,48,199.070000,49.406394,21.529888,6.125549,203.022200,0.652240,3.890000
2020-09-29,39,196.790000,46.663976,20.589440,6.040673,202.723800,-0.691360,5.730000
2020-09-30,41,200.970000,51.931834,20.436971,5.891005,202.502800,1.150000,3.000000
2020-10-01,39,198.550000,48.919394,20.182832,5.332367,202.353800,-1.480000,1.850000
2020-10-02,41,199.900000,50.639547,19.361250,4.931565,202.291400,2.330000,0.420000
2020-10-05,50,201.800000,53.036581,18.982953,4.076133,202.298000,-0.064379,2.550000
2020-10-06,50,201.090000,52.019969,19.171545,4.005464,202.259400,-1.550000,0.060000
2020-10-07,59,203.600000,55.283222,19.346666,4.094635,202.299000,-0.147130,2.540000
2020-10-08,62,207.980000,60.350893,20.014417,4.649299,202.407000,1.380000,4.040000
2020-10-09,61,207.540000,59.619933,20.880410,5.055543,202.567200,-0.584400,2.840000
2020-10-12,64,214.120000,66.210832,22.353510,6.084638,202.890400,3.240000,6.480000
2020-10-13,61,210.810000,60.831906,23.721388,6.590538,203.118800,-1.500000,3.540000
