date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-06,36.0,49.748848,115.545431,4.415866,76.353,3.14,76.24
2020-07-07,33.0,44.98404,111.775933,3.36738,76.409,0.98,74.17
2020-07-08,35.0,47.39554,108.214242,2.503492,76.407,0.87,75.09
2020-07-09,35.0,45.170579,104.743806,1.922094,76.3746,-0.52,74.13
2020-07-10,37.0,48.198629,101.521257,1.849267,76.2938,-1.31,75.24
2020-07-13,34.0,44.261791,98.58101,1.804329,76.2512,-0.8,73.58
2020-07-14,34.0,44.098219,95.482442,1.737039,76.2808,-2.1,73.51
2020-07-15,54.0,60.668369,93.052989,2.0684,76.471,9.16,80.92
2020-07-16,52.0,60.590071,90.797068,2.427725,76.654,7.51,80.89
2020-07-17,50.0,57.932714,88.597165,2.561438,76.8362,8.59,79.9
2020-07-20,47.0,53.515731,86.315222,2.633831,76.9616,6.34,78.17
2020-07-21,49.0,57.453406,84.201961,2.83046,77.1202,-0.99,80.12
2020-07-22,48.0,56.140213,82.239647,2.96706,77.3466,-1.57,79.62
2020-07-23,47.0,54.115512,79.938218,2.980858,77.5838,-1.3,78.86
2020-07-24,37.0,50.430107,77.748503,2.882259,77.8354,-0.95,77.43
2020-07-27,36.0,50.198397,75.244583,2.639093,78.0188,-3.47,77.34
2020-07-28,35.0,48.414986,72.935562,2.567753,78.1814,-3.71,76.67
2020-07-29,37.0,50.452166,70.847622,2.458559,78.2678,-1.86,77.39
2020-07-30,35.0,46.983126,68.387909,2.40034,78.2848,-1.67,76.14
2020-07-31,33.0,44.133436,65.658032,2.375652,78.2314,-2.96,75.05
2020-08-03,33.0,43.328519,62.951199,2.422405,78.173,-2.52,74.74
2020-08-04,47.0,53.806335,60.937456,2.352285,78.1716,1.2,78.32
2020-08-05,49.0,57.753689,59.331223,2.379962,78.1378,5.07,80.0
2020-08-06,54.0,63.196814,58.363029,2.519842,78.1288,10.19,82.7
2020-08-07,55.0,64.995694,57.499814,2.74928,78.1904,11.99,83.7
2020-08-10,58.0,69.066413,57.135879,3.037582,78.3282,10.06,86.2
2020-08-11,58.0,70.286963,56.945349,3.261443,78.4304,8.77,87.02
2020-08-12,56.0,66.398886,56.333397,3.533655,78.4762,3.86,85.89
2020-08-13,55.0,65.061203,55.329664,3.741019,78.464,2.15,85.5
2020-08-14,56.0,66.006735,54.397626,3.959611,78.4572,-0.23,86.0
2020-08-17,55.0,62.30259,53.089978,4.049886,78.4128,-2.34,84.98
2020-08-18,54.0,59.115269,51.524515,4.113406,78.3002,-2.12,84.07
2020-08-19,53.0,60.129104,50.111521,4.175231,78.2674,-1.18,84.49
2020-08-20,54.0,61.617787,48.458465,4.227179,78.3128,-1.05,85.1
2020-08-21,58.0,66.575175,47.349066,4.309165,78.508,2.79,87.35
2020-08-24,59.0,68.612549,46.71405,4.393173,78.727,5.15,88.4
2020-08-25,59.0,68.690843,46.412943,4.362962,78.9462,4.68,88.44
2020-08-26,56.0,61.875902,45.385707,4.229991,79.1172,2.0,86.8
2020-08-27,59.0,66.270724,44.68239,4.016444,79.3648,1.66,88.8
2020-08-28,63.0,71.461123,44.603744,3.75802,79.6362,3.77,91.73
2020-08-31,60.0,66.322004,44.530715,3.109323,79.92,2.17,90.36
2020-09-01,65.0,68.709944,44.462903,2.859823,80.2326,5.66,91.71
2020-09-02,64.0,67.301451,44.399934,2.637986,80.5458,2.86,91.34
2020-09-03,62.0,67.141212,44.753506,2.597909,80.908,-0.47,91.3
2020-09-04,61.0,65.626777,45.081823,2.552929,81.2766,0.64,90.94
2020-09-08,63.0,67.717893,44.712229,2.67147,81.6914,0.21,91.9
2020-09-09,60.0,61.391515,44.369035,2.703743,82.0208,-1.04,90.39
2020-09-10,58.0,57.448953,44.391515,2.656077,82.339,-2.12,89.36
2020-09-11,54.0,50.677439,42.633814,2.582552,82.5976,-3.93,87.37
2020-09-14,62.0,62.495488,41.865235,2.637641,82.9534,0.45,92.31
2020-09-15,61.0,61.310552,41.457241,2.561198,83.2674,1.71,91.94
2020-09-16,65.0,65.311488,41.387398,2.481401,83.6646,5.23,94.03
2020-09-17,61.0,56.674527,40.779159,2.189665,83.9862,4.35,91.17
2020-09-18,58.0,52.662337,39.534291,1.879437,84.2964,-2.89,89.64
2020-09-21,51.0,43.620252,37.222023,2.059928,84.5012,-7.03,85.48
2020-09-22,49.0,43.159836,35.074917,2.297194,84.7344,-9.35,85.24
2020-09-23,38.0,40.511953,32.590939,2.644557,84.9414,-8.02,83.86
2020-09-24,36.0,39.035528,30.951495,2.960978,84.9844,-7.33,83.07
2020-09-25,48.0,46.620075,28.961295,3.063884,85.0852,0.53,85.93
2020-09-28,52.0,53.446155,27.72033,3.019632,85.2684,4.48,89.06
2020-09-29,47.0,48.226361,26.43644,3.065726,85.437,3.27,86.6
2020-09-30,37.0,45.724051,24.796811,3.113014,85.541,2.71,85.32
2020-10-01,48.0,49.881113,23.274298,3.075031,85.693,1.5,87.22
2020-10-02,48.0,51.441063,21.711022,3.014312,85.875,-1.24,87.96
2020-10-05,58.0,54.219785,20.762804,2.967111,86.1124,3.12,89.3
2020-10-06,59.0,54.842808,20.608,2.870583,86.3576,5.02,89.6
2020-10-07,61.0,59.080737,20.464252,2.934261,86.6586,5.16,91.72
2020-10-08,62.0,60.620178,20.56607,3.069926,86.9616,5.21,92.54
2020-10-09,59.0,57.307327,21.002952,3.121738,87.2662,2.32,91.37
2020-10-12,59.0,57.249737,20.98484,3.072359,87.5922,1.95,91.35
2020-10-13,54.0,49.927546,19.99242,2.976754,87.8702,-3.36,88.64
2020-10-14,54.0,49.079422,18.909196,2.68815,88.0698,-4.58,88.3
2020-10-15,55.0,50.099689,17.771901,2.602553,88.2434,-2.94,88.68
2020-10-16,56.0,52.319793,16.843109,2.598436,88.3794,-2.03,89.5
2020-10-19,46.0,46.96824,15.915991,2.534976,88.4564,-1.23,87.55
2020-10-20,57.0,52.399795,15.055097,2.461861,88.5238,1.44,89.57
2020-10-21,56.0,50.737525,14.255694,2.236765,88.5628,0.33,88.97
2020-10-22,65.0,62.355014,14.754351,2.194487,88.7328,5.46,94.39
2020-10-23,64.0,62.739126,15.571808,2.36111,88.915,8.06,94.61
2020-10-26,57.0,51.795849,14.72822,2.363191,89.0026,0.9,90.38
2020-10-27,45.0,46.232116,14.240482,2.304269,89.0564,-1.46,87.67
2020-10-28,39.0,39.999955,14.734298,2.442026,89.0554,-10.99,84.02
2020-10-29,43.0,45.406587,14.90703,2.482171,89.0958,-8.56,86.51
2020-10-30,46.0,48.039157,14.839426,2.487431,89.15,-2.84,87.81
2020-11-02,46.0,48.430567,14.616829,2.511913,89.163,0.38,88.0
2020-11-03,58.0,53.672232,13.889993,2.523169,89.208,7.89,90.65
2020-11-04,61.0,57.913974,14.406772,2.596998,89.301,7.61,93.09
2020-11-05,62.0,59.532927,14.886637,2.701387,89.4466,7.14,94.08
2020-11-06,59.0,56.596259,15.04569,2.763557,89.5274,5.5,92.84
2020-11-09,74.0,70.796414,18.121216,4.173655,89.7766,14.94,104.19
2020-11-10,75.0,70.841671,20.977062,5.110802,90.0542,11.98,104.24
2020-11-11,74.0,69.701672,23.25608,5.735595,90.295,10.28,103.75
2020-11-12,71.0,65.748554,25.188838,6.075833,90.5092,9.92,102.05
2020-11-13,76.0,69.81533,27.238299,6.658124,90.7992,1.55,105.8
2020-11-16,77.0,70.597332,29.469322,7.084722,91.112,2.24,106.58
2020-11-17,72.0,63.26536,30.463225,7.243367,91.3408,-0.4,103.34
2020-11-18,73.0,63.278036,31.432416,7.3078,91.6,1.27,103.35
2020-11-19,72.0,62.010574,32.070532,7.451238,91.8688,-2.84,102.8
2020-11-20,70.0,59.580381,32.493084,7.533226,92.1566,-4.52,101.76
2020-11-23,75.0,64.341271,33.115481,7.601344,92.4114,1.65,105.05
2020-11-24,80.0,68.991881,34.247933,7.656305,92.7514,5.41,108.94
2020-11-25,76.0,62.987888,35.037904,7.075634,92.9968,3.4,106.3
2020-11-27,73.0,59.02749,35.119669,6.475402,93.2616,2.6,104.41
2020-11-30,72.0,57.422833,34.481943,5.81549,93.5414,-1.35,103.63
2020-12-01,73.0,59.272498,34.115693,4.998986,93.9286,-3.76,104.84
2020-12-02,75.0,62.073379,34.02775,4.346584,94.3588,0.42,106.75
2020-12-03,78.0,65.314692,34.57509,3.925765,94.8648,4.55,109.16
2020-12-04,81.0,67.41757,35.083335,3.55657,95.4204,6.97,110.85
2020-12-07,81.0,64.861617,35.450168,2.54886,95.8984,4.76,109.83
2020-12-08,79.0,62.897826,35.845798,2.653261,96.2982,2.15,109.05
2020-12-09,75.0,57.271747,35.171837,2.643252,96.7002,-2.25,106.7
2020-12-10,75.0,58.397274,34.376497,2.623907,97.141,-3.15,107.36
