date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,36,76.240000,49.748848,115.545431,4.415866,76.353000,0.210300,3.140000
2020-07-07,33,74.170000,44.984040,111.775933,3.367380,76.409000,-1.450000,0.980000
2020-07-08,35,75.090000,47.395540,108.214242,2.503492,76.407000,1.060000,0.870000
2020-07-09,35,74.130000,45.170579,104.743806,1.922094,76.374600,-1.700000,-0.520000
2020-07-10,37,75.240000,48.198629,101.521257,1.849267,76.293800,1.910000,-1.310000
2020-07-13,34,73.580000,44.261791,98.581010,1.804329,76.251200,-2.610000,-0.800000
2020-07-14,34,73.510000,44.098219,95.482442,1.737039,76.280800,0.409780,-2.100000
2020-07-15,54,80.920000,60.668369,93.052989,2.068400,76.471000,5.640000,9.160000
2020-07-16,52,80.890000,60.590071,90.797068,2.427725,76.654000,1.370000,7.510000
2020-07-17,50,79.900000,57.932714,88.597165,2.561438,76.836200,-0.954510,8.590000
2020-07-20,47,78.170000,53.515731,86.315222,2.633831,76.961600,-1.600000,6.340000
2020-07-21,49,80.120000,57.453406,84.201961,2.830460,77.120200,1.020000,-0.990000
2020-07-22,48,79.620000,56.140213,82.239647,2.967060,77.346600,0.012561,-1.570000
2020-07-23,47,78.860000,54.115512,79.938218,2.980858,77.583800,0.177850,-1.300000
2020-07-24,37,77.430000,50.430107,77.748503,2.882259,77.835400,-1.260000,-0.950000
2020-07-27,36,77.340000,50.198397,75.244583,2.639093,78.018800,1.030000,-3.470000
2020-07-28,35,76.670000,48.414986,72.935562,2.567753,78.181400,-0.454430,-3.710000
2020-07-29,37,77.390000,50.452166,70.847622,2.458559,78.267800,0.181230,-1.860000
2020-07-30,35,76.140000,46.983126,68.387909,2.400340,78.284800,-0.470590,-1.670000
2020-07-31,33,75.050000,44.133436,65.658032,2.375652,78.231400,-0.832450,-2.960000
2020-08-03,33,74.740000,43.328519,62.951199,2.422405,78.173000,0.456990,-2.520000
2020-08-04,47,78.320000,53.806335,60.937456,2.352285,78.171600,4.710000,1.200000
2020-08-05,49,80.000000,57.753689,59.331223,2.379962,78.137800,0.489890,5.070000
2020-08-06,54,82.700000,63.196814,58.363029,2.519842,78.128800,4.290000,10.190000
2020-08-07,55,83.700000,64.995694,57.499814,2.749280,78.190400,1.640000,11.990000
2020-08-10,58,86.200000,69.066413,57.135879,3.037582,78.328200,1.980000,10.060000
2020-08-11,58,87.020000,70.286963,56.945349,3.261443,78.430400,-0.605370,8.770000
2020-08-12,56,85.890000,66.398886,56.333397,3.533655,78.476200,-3.070000,3.860000
2020-08-13,55,85.500000,65.061203,55.329664,3.741019,78.464000,0.293260,2.150000
2020-08-14,56,86.000000,66.006735,54.397626,3.959611,78.457200,0.128070,-0.230000
2020-08-17,55,84.980000,62.302590,53.089978,4.049886,78.412800,-1.270000,-2.340000
2020-08-18,54,84.070000,59.115269,51.524515,4.113406,78.300200,-1.110000,-2.120000
2020-08-19,53,84.490000,60.129104,50.111521,4.175231,78.267400,-0.130020,-1.180000
2020-08-20,54,85.100000,61.617787,48.458465,4.227179,78.312800,1.950000,-1.050000
2020-08-21,58,87.350000,66.575175,47.349066,4.309165,78.508000,2.160000,2.790000
2020-08-24,59,88.400000,68.612549,46.714050,4.393173,78.727000,0.626070,5.150000
2020-08-25,59,88.440000,68.690843,46.412943,4.362962,78.946200,-1.430000,4.680000
2020-08-26,56,86.800000,61.875902,45.385707,4.229991,79.117200,-1.600000,2.000000
2020-08-27,59,88.800000,66.270724,44.682390,4.016444,79.364800,1.300000,1.660000
2020-08-28,63,91.730000,71.461123,44.603744,3.758020,79.636200,2.820000,3.770000
2020-08-31,60,90.360000,66.322004,44.530715,3.109323,79.920000,-1.360000,2.170000
2020-09-01,65,91.710000,68.709944,44.462903,2.859823,80.232600,2.450000,5.660000
2020-09-02,64,91.340000,67.301451,44.399934,2.637986,80.545800,-0.598540,2.860000
2020-09-03,62,91.300000,67.141212,44.753506,2.597909,80.908000,-0.685300,-0.470000
2020-09-04,61,90.940000,65.626777,45.081823,2.552929,81.276600,-1.880000,0.640000
2020-09-08,63,91.900000,67.717893,44.712229,2.671470,81.691400,1.980000,0.210000
2020-09-09,60,90.390000,61.391515,44.369035,2.703743,82.020800,-1.430000,-1.040000
2020-09-10,58,89.360000,57.448953,44.391515,2.656077,82.339000,-1.690000,-2.120000
2020-09-11,54,87.370000,50.677439,42.633814,2.582552,82.597600,-2.500000,-3.930000
2020-09-14,62,92.310000,62.495488,41.865235,2.637641,82.953400,4.680000,0.450000
2020-09-15,61,91.940000,61.310552,41.457241,2.561198,83.267400,-0.551650,1.710000
2020-09-16,65,94.030000,65.311488,41.387398,2.481401,83.664600,1.700000,5.230000
2020-09-17,61,91.170000,56.674527,40.779159,2.189665,83.986200,-1.630000,4.350000
2020-09-18,58,89.640000,52.662337,39.534291,1.879437,84.296400,-0.774850,-2.890000
2020-09-21,51,85.480000,43.620252,37.222023,2.059928,84.501200,-1.970000,-7.030000
2020-09-22,49,85.240000,43.159836,35.074917,2.297194,84.734400,0.199840,-9.350000
2020-09-23,38,83.860000,40.511953,32.590939,2.644557,84.941400,-2.140000,-8.020000
2020-09-24,36,83.070000,39.035528,30.951495,2.960978,84.984400,-0.359840,-7.330000
2020-09-25,48,85.930000,46.620075,28.961295,3.063884,85.085200,3.460000,0.530000
2020-09-28,52,89.060000,53.446155,27.720330,3.019632,85.268400,1.410000,4.480000
2020-09-29,47,86.600000,48.226361,26.436440,3.065726,85.437000,-2.590000,3.270000
2020-09-30,37,85.320000,45.724051,24.796811,3.113014,85.541000,-2.540000,2.710000
2020-10-01,48,87.220000,49.881113,23.274298,3.075031,85.693000,1.510000,1.500000
2020-10-02,48,87.960000,51.441063,21.711022,3.014312,85.875000,3.590000,-1.240000
2020-10-05,58,89.300000,54.219785,20.762804,2.967111,86.112400,0.960990,3.120000
2020-10-06,59,89.600000,54.842808,20.608000,2.870583,86.357600,-0.753210,5.020000
2020-10-07,61,91.720000,59.080737,20.464252,2.934261,86.658600,1.450000,5.160000
2020-10-08,62,92.540000,60.620178,20.566070,3.069926,86.961600,0.281750,5.210000
2020-10-09,59,91.370000,57.307327,21.002952,3.121738,87.266200,-1.750000,2.320000
2020-10-12,59,91.350000,57.249737,20.984840,3.072359,87.592200,-0.098425,1.950000
2020-10-13,54,88.640000,49.927546,19.992420,2.976754,87.870200,-2.380000,-3.360000
2020-10-14,54,88.300000,49.079422,18.909196,2.688150,88.069800,-0.786520,-4.580000
2020-10-15,55,88.680000,50.099689,17.771901,2.602553,88.243400,1.510000,-2.940000
2020-10-16,56,89.500000,52.319793,16.843109,2.598436,88.379400,0.697570,-2.030000
2020-10-19,46,87.550000,46.968240,15.915991,2.534976,88.456400,-2.340000,-1.230000
2020-10-20,57,89.570000,52.399795,15.055097,2.461861,88.523800,1.170000,1.440000
2020-10-21,56,88.970000,50.737525,14.255694,2.236765,88.562800,-0.403000,0.330000
2020-10-22,65,94.390000,62.355014,14.754351,2.194487,88.732800,4.630000,5.460000
2020-10-23,64,94.610000,62.739126,15.571808,2.361110,88.915000,-0.200420,8.060000
2020-10-26,57,90.380000,51.795849,14.728220,2.363191,89.002600,-2.730000,0.900000
2020-10-27,45,87.670000,46.232116,14.240482,2.304269,89.056400,-2.860000,-1.460000
2020-10-28,39,84.020000,39.999955,14.734298,2.442026,89.055400,-2.280000,-10.990000
2020-10-29,43,86.510000,45.406587,14.907030,2.482171,89.095800,2.960000,-8.560000
2020-10-30,46,87.810000,48.039157,14.839426,2.487431,89.150000,2.390000,-2.840000
2020-11-02,46,88.000000,48.430567,14.616829,2.511913,89.163000,0.000000,0.380000
2020-11-03,58,90.650000,53.672232,13.889993,2.523169,89.208000,2.140000,7.890000
2020-11-04,61,93.090000,57.913974,14.406772,2.596998,89.301000,1.990000,7.610000
2020-11-05,62,94.080000,59.532927,14.886637,2.701387,89.446600,0.803600,7.140000
2020-11-06,59,92.840000,56.596259,15.045690,2.763557,89.527400,-0.864920,5.500000
2020-11-09,74,104.190000,70.796414,18.121216,4.173655,89.776600,-7.300000,14.940000
2020-11-10,75,104.240000,70.841671,20.977062,5.110802,90.054200,-0.723810,11.980000
2020-11-11,74,103.750000,69.701672,23.256080,5.735595,90.295000,-0.860010,10.280000
2020-11-12,71,102.050000,65.748554,25.188838,6.075833,90.509200,-0.273620,9.920000
2020-11-13,76,105.800000,69.815330,27.238299,6.658124,90.799200,2.810000,1.550000
2020-11-16,77,106.580000,70.597332,29.469322,7.084722,91.112000,-2.640000,2.240000
2020-11-17,72,103.340000,63.265360,30.463225,7.243367,91.340800,-1.170000,-0.400000
2020-11-18,73,103.350000,63.278036,31.432416,7.307800,91.600000,-0.019348,1.270000
2020-11-19,72,102.800000,62.010574,32.070532,7.451238,91.868800,0.459300,-2.840000
2020-11-20,70,101.760000,59.580381,32.493084,7.533226,92.156600,-1.060000,-4.520000
2020-11-23,75,105.050000,64.341271,33.115481,7.601344,92.411400,2.100000,1.650000
2020-11-24,80,108.940000,68.991881,34.247933,7.656305,92.751400,0.898400,5.410000
2020-11-25,76,106.300000,62.987888,35.037904,7.075634,92.996800,-1.570000,3.400000
2020-11-27,73,104.410000,59.027490,35.119669,6.475402,93.261600,-2.070000,2.600000
