date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-01,47,58.860000,51.192598,107.447052,2.916610,57.317600,0.426550,4.360000
2020-07-02,47,59.070000,51.859100,104.363996,2.783046,57.464800,-1.270000,4.240000
2020-07-06,47,59.520000,53.329834,101.404443,2.343477,57.622600,-0.518130,2.510000
2020-07-07,47,58.510000,49.662584,98.537008,1.453160,57.745000,-0.662140,0.210000
2020-07-08,37,57.190000,45.280148,95.215159,1.346709,57.791600,-2.040000,-2.840000
2020-07-09,34,56.080000,41.929421,91.677986,1.426396,57.807800,-1.420000,-5.060000
2020-07-10,37,57.160000,46.108109,88.401462,1.342604,57.812000,1.820000,-3.970000
2020-07-13,38,57.850000,48.650436,85.519298,1.294231,57.877800,0.434030,-1.130000
2020-07-14,54,59.690000,54.777037,82.956202,1.327706,58.028600,2.930000,4.370000
2020-07-15,58,63.680000,64.631608,80.991331,1.739423,58.252400,5.120000,13.550000
2020-07-16,58,64.760000,66.744046,79.284153,2.190700,58.473600,1.660000,13.300000
2020-07-17,63,66.970000,70.612085,77.921523,2.819394,58.759200,2.840000,15.760000
2020-07-20,60,66.440000,68.552809,76.675329,3.224207,59.010200,-0.105250,11.310000
2020-07-21,62,67.660000,70.672986,75.648700,3.680335,59.282800,1.060000,6.250000
2020-07-22,62,67.750000,70.829229,74.695402,4.051405,59.528400,0.236720,4.620000
2020-07-23,63,68.380000,71.955570,73.885260,4.289883,59.834800,0.989510,2.110000
2020-07-24,60,67.030000,66.068595,72.728943,4.350749,60.152800,-1.440000,0.890000
2020-07-27,59,67.030000,66.068595,71.316440,4.363232,60.453400,0.239270,-0.930000
2020-07-28,56,65.900000,61.207371,70.004830,4.343422,60.736200,-1.570000,-2.730000
2020-07-29,62,68.710000,67.592981,69.160113,4.448594,60.982200,3.400000,0.480000
2020-07-30,62,68.650000,67.338095,68.375734,4.513942,61.214200,1.400000,2.420000
2020-07-31,61,68.730000,67.513996,67.703867,4.541358,61.433200,0.659050,2.540000
2020-08-03,66,70.900000,71.929897,67.492698,4.669967,61.707600,2.770000,7.590000
2020-08-04,61,69.130000,64.257289,65.566767,4.566602,61.956000,1.290000,0.610000
2020-08-05,63,67.130000,56.874920,63.778403,4.218921,62.107200,-3.280000,-2.210000
2020-08-06,64,66.980000,56.352009,62.113218,3.632511,62.202000,-0.564130,-2.550000
2020-08-07,65,67.800000,58.593240,60.635564,3.023017,62.329000,1.630000,-4.370000
