date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-22,37,96.750000,46.461672,14.903260,5.026075,95.481600,-0.514140,-5.200000
2020-06-23,38,97.930000,48.289914,14.236341,4.919140,95.476400,-1.050000,-1.560000
2020-06-24,27,94.660000,43.823807,13.626273,5.170864,95.459600,-2.160000,-4.330000
2020-06-25,39,97.960000,48.954556,12.738402,5.219779,95.603000,3.830000,0.150000
2020-06-26,24,92.590000,42.200145,12.410141,5.504516,95.708200,-2.650000,-4.300000
2020-06-29,24,93.000000,42.848507,12.105328,5.770800,95.664600,-0.428270,-5.030000
2020-06-30,26,94.060000,44.579389,11.775197,5.953759,95.711600,1.330000,-0.630000
2020-07-01,24,93.260000,43.508408,11.169467,6.112324,95.795800,-1.720000,-4.800000
2020-07-02,24,92.660000,42.680235,10.897902,6.149747,95.862200,-2.200000,0.080000
2020-07-06,27,95.000000,46.923490,10.570591,5.599660,95.974400,0.603620,2.150000
2020-07-07,23,92.320000,42.997564,10.675491,4.631862,96.006600,-1.600000,-1.850000
2020-07-08,25,93.300000,44.815768,10.828269,3.658547,95.980200,1.090000,0.040000
2020-07-09,22,91.280000,41.852438,11.257647,3.176090,95.900000,-2.400000,-1.490000
2020-07-10,37,96.270000,50.550887,10.679376,3.165803,95.868200,4.640000,1.340000
2020-07-13,39,97.650000,52.660013,10.436628,3.066311,95.906000,-1.090000,5.770000
2020-07-14,40,98.210000,53.526265,10.407272,2.866764,96.005200,-0.162650,5.260000
2020-07-15,42,99.730000,55.885844,10.759890,2.647299,96.157000,-1.150000,9.260000
2020-07-16,42,100.010000,56.325742,11.048369,2.687916,96.317200,1.250000,3.880000
2020-07-17,39,98.160000,52.594033,11.148562,2.645505,96.475000,-1.840000,0.520000
2020-07-20,38,97.300000,50.905622,10.879080,2.626765,96.596800,-0.133430,-0.930000
2020-07-21,41,99.410000,54.744320,11.184500,2.746007,96.731000,1.740000,-0.320000
2020-07-22,39,98.690000,53.215265,11.419100,2.781112,96.905400,-0.963370,-1.320000
2020-07-23,40,98.980000,53.775292,11.636943,2.852882,97.144400,0.487310,0.840000
2020-07-24,39,98.280000,52.152495,12.007168,2.864747,97.429400,-1.330000,1.010000
2020-07-27,29,96.900000,49.012334,11.480658,2.759707,97.617000,-0.625580,-2.520000
2020-07-28,30,97.320000,49.999091,11.102318,2.666439,97.845400,0.849740,-1.390000
2020-07-29,41,99.680000,55.240818,11.481558,2.696827,98.030000,2.690000,0.710000
2020-07-30,30,97.020000,49.005026,11.353559,2.577453,98.197000,-0.533110,-1.280000
2020-07-31,29,96.640000,48.168497,10.844822,2.388468,98.303200,0.165840,-0.270000
2020-08-03,28,96.100000,46.942192,10.653636,2.351686,98.421800,-0.948260,-1.250000
2020-08-04,28,95.550000,45.666954,10.061375,2.112312,98.543400,-0.375350,-4.140000
2020-08-05,31,97.210000,50.075277,10.563478,1.901227,98.571200,1.400000,0.200000
2020-08-06,32,97.240000,50.153989,11.029717,1.258252,98.488600,-0.348430,0.620000
2020-08-07,44,99.380000,55.538911,11.983846,1.249540,98.479000,2.530000,3.410000
2020-08-10,45,100.640000,58.389251,13.669801,1.374565,98.545600,0.529420,5.330000
2020-08-11,49,103.820000,64.563790,16.178117,1.852955,98.650000,-0.038513,6.800000
2020-08-12,47,102.940000,61.829555,17.572744,2.085390,98.730200,-3.030000,5.860000
2020-08-13,47,102.370000,60.055465,18.832190,2.225934,98.692200,0.362750,3.010000
2020-08-14,47,102.410000,60.141896,19.883212,2.364554,98.611600,0.896550,1.760000
2020-08-17,44,99.710000,51.967931,19.886946,2.341548,98.381200,-1.760000,-3.960000
2020-08-18,42,98.320000,48.326465,19.242021,2.344391,98.078600,-1.590000,-4.490000
2020-08-19,41,98.550000,48.963726,18.883987,2.345396,97.838800,-0.374040,-3.730000
2020-08-20,32,97.370000,45.840271,17.862438,2.370582,97.665000,0.113100,-4.920000
2020-08-21,32,97.320000,45.707223,17.124501,2.391718,97.667200,0.051403,-2.400000
2020-08-24,43,100.060000,53.647097,17.045632,2.363575,97.671000,1.640000,1.770000
2020-08-25,44,100.500000,54.790471,17.550748,2.353328,97.656000,-0.760340,1.980000
2020-08-26,42,99.090000,50.492265,17.646170,2.350089,97.596600,-0.850510,1.770000
2020-08-27,47,102.350000,58.582315,18.464150,2.399438,97.654000,3.380000,5.170000
2020-08-28,47,102.770000,59.500529,19.391075,2.421468,97.730600,-0.358740,2.710000
2020-08-31,43,100.190000,51.890275,19.350605,2.278558,97.778200,-1.890000,-0.310000
2020-09-01,46,100.140000,51.752128,18.858415,2.049568,97.846000,0.592670,1.060000
2020-09-02,48,101.650000,55.596818,18.771856,1.961002,97.920400,1.700000,-0.680000
2020-09-03,45,101.330000,54.603785,19.596711,1.836247,98.053800,-1.930000,-1.400000
