date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-01,63,391.600000,58.341998,118.423573,8.591962,367.847000,0.063881,2.020000
2020-07-02,66,401.850000,63.801297,115.397800,9.240285,368.815000,1.660000,3.650000
2020-07-03,64,396.700000,59.576721,112.588153,8.640000,369.776000,-1.440000,1.850000
2020-07-06,66,404.000000,63.287529,109.996350,9.248663,371.039000,-0.160630,3.460000
2020-07-07,65,402.650000,62.151259,107.335169,9.726128,372.073000,0.687670,2.820000
2020-07-08,64,399.800000,59.713817,104.864073,9.813772,372.929000,0.200500,-0.510000
2020-07-09,64,400.950000,60.388872,102.597332,9.876296,373.752000,-0.261190,1.070000
2020-07-10,64,400.700000,60.152904,100.234276,10.005417,374.717000,1.430000,-0.820000
2020-07-13,66,408.350000,64.698673,98.148570,9.950870,376.113000,0.827160,1.420000
2020-07-14,65,404.650000,61.069880,95.978238,9.797329,377.356000,0.285010,1.210000
2020-07-15,67,412.050000,65.265901,94.139487,10.170925,378.869000,1.190000,2.770000
2020-07-16,66,408.150000,61.503467,92.290874,9.831423,380.121000,0.049026,1.860000
2020-07-17,66,410.250000,62.748739,90.620335,9.629295,381.281000,0.109810,0.470000
2020-07-20,67,412.800000,64.260541,88.767588,9.233004,382.559000,0.621570,2.010000
2020-07-21,73,409.950000,61.267758,87.149684,9.328147,383.821000,-1.110000,-0.510000
2020-07-22,71,404.000000,55.460496,85.145452,8.333112,385.200000,-1.790000,-1.020000
2020-07-23,71,403.600000,55.082504,83.081956,7.355098,386.652000,-0.713410,-1.620000
2020-07-24,70,399.100000,50.881134,80.396272,6.631954,388.029000,0.301580,-3.320000
2020-07-27,71,401.400000,52.860228,78.092943,5.930503,389.056000,0.350000,-2.090000
2020-07-28,56,385.050000,40.398978,74.253271,6.593736,389.607000,-1.720000,-4.690000
2020-07-29,57,387.150000,42.281053,70.687861,7.031185,390.115000,1.080000,-4.080000
2020-07-30,50,373.850000,34.788409,66.515241,9.430725,390.395000,-2.640000,-6.330000
2020-07-31,46,366.750000,31.571923,62.332999,12.049726,390.624000,-1.770000,-8.630000
2020-08-03,49,372.300000,36.513313,58.350345,13.397290,390.831000,1.600000,-3.310000
2020-08-04,48,371.650000,36.183754,54.668058,14.534868,390.956000,-0.694720,-4.000000
2020-08-05,51,376.100000,40.165428,51.255614,15.179522,391.001000,0.440650,0.600000
2020-08-06,50,374.000000,38.930977,48.209391,15.813533,390.745000,-0.452490,1.980000
2020-08-07,49,374.000000,38.930971,45.380755,16.318335,390.725000,0.281540,0.460000
2020-08-10,48,371.550000,37.376661,42.634216,16.529793,390.578000,-1.180000,-0.030000
2020-08-11,53,382.700000,47.625136,40.854960,16.308797,390.533000,2.330000,1.750000
2020-08-12,64,391.200000,53.828481,39.631183,15.500859,390.488000,2.020000,4.600000
2020-08-13,64,391.200000,53.828481,38.622811,14.868998,390.511000,0.025569,4.600000
2020-08-14,54,386.050000,49.692737,36.952163,13.960322,390.147000,-1.010000,3.900000
2020-08-17,54,387.750000,51.030246,35.456135,12.624047,389.980000,-0.180200,1.320000
2020-08-18,53,386.050000,49.609823,33.835010,11.313084,389.795000,-0.038840,-1.320000
2020-08-19,54,387.200000,50.611324,32.329680,10.404329,389.571000,0.232980,-1.020000
2020-08-20,52,383.350000,47.227212,30.469017,9.321419,389.736000,0.524450,-0.700000
2020-08-21,52,385.450000,49.221644,29.004853,8.542305,389.862000,0.116880,-0.590000
2020-08-24,64,393.450000,56.037857,28.453968,7.767973,390.302000,0.923430,1.920000
2020-08-25,64,397.050000,58.723014,28.399332,8.463652,390.707000,0.430000,2.540000
2020-08-26,67,403.000000,62.770432,28.566987,9.582501,391.184000,1.950000,5.130000
2020-08-27,65,401.000000,60.618768,28.781239,10.135169,391.658000,-0.742570,4.030000
2020-08-28,63,396.350000,55.827249,28.495276,9.644317,391.984000,-1.180000,0.740000
2020-08-31,61,392.800000,52.420590,27.866023,9.261276,392.262000,-1.260000,-1.070000
2020-09-01,63,396.700000,55.624268,27.057719,8.839704,392.383000,0.404960,-1.560000
2020-09-02,67,407.250000,62.901393,27.408639,9.361476,392.901000,2.040000,1.560000
2020-09-03,68,408.400000,63.602076,28.165930,9.531717,393.392000,-0.632600,3.040000
2020-09-04,66,402.850000,57.916844,28.069102,8.999073,393.695000,-0.518580,2.560000
2020-09-07,69,408.800000,61.853608,27.979189,8.282654,394.081000,0.788950,3.050000
2020-09-08,66,404.400000,57.565061,27.142713,8.094166,394.359000,-0.906640,-0.700000
2020-09-09,65,404.050000,57.225177,26.261112,8.234930,394.608000,0.148720,-1.070000
2020-09-10,65,404.350000,57.457053,25.318019,8.337192,394.658000,1.090000,0.370000
2020-09-11,70,416.600000,65.645998,25.526597,8.997420,395.056000,2.760000,1.910000
2020-09-14,71,420.250000,67.644436,26.013534,9.833607,395.381000,0.059524,3.920000
2020-09-15,72,424.000000,69.601006,26.786724,10.596817,395.808000,0.545410,4.940000
2020-09-16,73,426.150000,70.695158,27.656821,11.279837,396.335000,0.828110,5.390000
2020-09-17,70,420.000000,63.639077,27.831966,10.772313,396.716000,0.000000,0.820000
2020-09-18,67,413.850000,57.462560,27.265504,9.848884,396.979000,-1.460000,-1.520000
2020-09-21,52,395.550000,43.830608,26.195813,9.713437,396.723000,-3.780000,-6.710000
2020-09-22,50,391.050000,41.239798,25.456351,10.106080,396.451000,-1.320000,-8.240000
2020-09-23,61,400.100000,47.908561,24.373534,10.181092,396.212000,1.010000,-4.740000
2020-09-24,62,401.800000,49.077671,23.003431,10.160070,396.085000,1.760000,-2.910000
2020-09-25,62,400.200000,47.986085,21.783525,9.996065,395.884000,-0.124780,1.180000
2020-09-28,65,405.900000,52.075604,20.512107,9.461843,395.746000,0.470300,3.800000
2020-09-29,66,409.950000,54.795187,19.624841,9.132723,395.746000,1.260000,2.460000
2020-09-30,61,399.400000,47.270059,18.373402,9.334791,395.654000,-1.430000,-0.600000
2020-10-01,66,409.700000,53.923152,17.408197,9.342691,395.776000,1.360000,2.370000
2020-10-02,64,407.650000,52.503265,16.253993,9.270031,395.947000,0.791200,0.430000
2020-10-05,66,412.550000,55.518265,15.935759,9.318322,396.170000,0.621950,0.630000
2020-10-06,65,411.200000,54.491956,15.438931,9.291099,396.693000,-0.303070,2.950000
2020-10-07,65,410.750000,54.132733,15.262759,9.237492,397.165000,-0.544790,0.260000
2020-10-08,63,407.200000,51.261771,14.894464,9.185726,397.832000,-1.300000,-0.110000
2020-10-09,65,411.900000,54.688137,14.552476,9.052365,398.735000,0.943510,-0.160000
2020-10-12,67,418.250000,58.892901,15.047684,8.937383,399.654000,1.340000,1.710000
2020-10-13,67,416.750000,57.534707,15.507519,8.449570,400.556000,-0.179640,1.460000
2020-10-14,65,412.200000,53.503925,15.126670,7.483991,401.278000,-1.090000,1.230000
2020-10-15,61,403.000000,46.422101,14.657244,6.999526,401.858000,-1.450000,-2.160000
2020-10-16,72,432.600000,63.267959,15.630304,8.867625,403.030000,2.400000,3.430000
2020-10-19,71,432.300000,63.051578,16.834700,9.871949,404.245000,-1.010000,3.730000
2020-10-20,71,430.200000,61.466840,17.653726,9.856817,405.195000,0.069784,4.370000
2020-10-21,70,427.800000,59.622470,17.608534,10.076037,405.927000,-0.857470,6.150000
2020-10-22,69,427.200000,59.144670,17.089644,10.176371,406.647000,0.802270,-1.250000
2020-10-23,69,428.000000,59.609442,16.607817,10.048538,407.486000,0.991030,-0.990000
2020-10-26,66,421.750000,54.402468,16.009934,9.865778,408.166000,-0.319070,-1.960000
2020-10-27,65,418.850000,52.127176,14.924694,9.759660,408.822000,-0.261940,-2.090000
2020-10-28,51,402.150000,41.391436,15.580111,9.527880,409.121000,-2.030000,-5.860000
2020-10-29,52,403.800000,42.648239,16.188712,9.838698,409.530000,1.460000,-5.650000
2020-10-30,52,402.300000,41.771287,16.753841,10.151722,409.867000,1.190000,-4.610000
2020-11-02,53,405.650000,44.515307,16.859364,10.395688,410.111000,0.832710,-3.150000
2020-11-03,54,408.950000,47.157046,16.786148,10.461075,410.349000,-0.134310,1.690000
2020-11-04,67,421.800000,55.951717,15.795369,10.456783,410.725000,4.730000,4.460000
2020-11-05,72,436.750000,63.551996,16.194671,11.088210,411.440000,2.460000,8.560000
2020-11-06,71,435.500000,62.579726,16.605981,11.608118,412.223000,0.045945,7.360000
2020-11-09,78,468.850000,74.005955,18.924004,15.846233,413.744000,6.460000,14.650000
2020-11-10,78,474.000000,75.262141,21.149075,19.436089,415.290000,2.640000,12.380000
2020-11-11,81,487.400000,78.212472,23.609303,23.505480,416.893000,2.890000,11.600000
2020-11-12,75,472.850000,68.639918,25.750567,24.628140,418.182000,-1.910000,8.580000
2020-11-13,74,469.750000,66.764994,27.182936,25.972516,419.520000,-0.476690,0.190000
2020-11-16,76,477.300000,68.986884,28.688465,27.641324,420.890000,0.473630,0.700000
2020-11-17,75,475.000000,67.506287,30.086456,28.865253,422.302000,-0.335710,-2.540000
2020-11-18,80,486.150000,70.780283,31.712247,30.557515,423.944000,2.200000,2.810000
2020-11-19,81,488.650000,71.474293,33.320785,32.048348,425.630000,0.804540,4.020000
2020-11-20,82,492.550000,72.568857,34.994436,33.466042,427.149000,1.030000,3.200000
2020-11-23,82,492.500000,72.530431,36.702237,34.286425,428.594000,-0.605450,3.680000
2020-11-24,82,494.850000,73.247422,37.671361,34.717344,430.011000,-0.030303,1.790000
2020-11-25,82,494.200000,72.682332,38.642211,33.507949,431.372000,-0.020231,1.140000
2020-11-26,84,495.750000,73.213039,39.567703,31.824141,432.887000,-0.291630,0.650000
2020-11-27,82,496.000000,73.303129,40.492531,29.177575,434.530000,0.303340,0.710000
2020-11-30,77,482.900000,61.610508,39.779799,25.447102,436.277000,-1.660000,-2.410000
2020-12-01,81,496.750000,67.511010,39.117976,21.330955,438.391000,2.000000,0.520000
2020-12-02,81,497.850000,67.932581,38.594418,17.610363,440.346000,0.575760,0.420000
2020-12-03,82,498.000000,67.993582,38.304441,14.787010,442.270000,0.000000,0.400000
2020-12-04,81,492.250000,63.043739,37.072103,9.864222,444.111000,-1.060000,1.940000
2020-12-07,81,493.700000,63.760215,35.566027,9.073800,445.867000,0.427180,-0.610000
2020-12-08,81,494.450000,64.147388,34.472590,8.586738,447.557000,0.487760,-0.680000
2020-12-09,81,498.000000,65.999056,33.662425,8.799666,449.529000,-0.070232,0.000000
2020-12-10,82,501.000000,67.525436,33.227486,8.263283,451.355000,0.511590,1.780000
2020-12-11,82,500.400000,66.878779,32.961882,6.938369,453.210000,0.220310,1.360000
2020-12-14,84,509.200000,71.230464,33.406994,6.947558,455.143000,1.520000,2.980000
2020-12-15,83,507.200000,69.011236,34.040790,6.026136,457.063000,-0.646430,1.850000
2020-12-16,82,505.000000,66.554879,33.890853,5.945242,458.948000,-0.883220,0.800000
2020-12-17,81,502.900000,64.205654,33.649832,5.806860,460.862000,-1.390000,0.500000
2020-12-18,79,499.550000,60.534829,32.655118,5.722007,462.615000,-0.209750,-1.900000
2020-12-21,75,490.200000,51.657639,30.644588,5.845581,464.054000,0.030609,-3.350000
2020-12-22,75,492.300000,53.313614,28.529108,5.929363,465.565000,-0.212830,-2.510000
2020-12-23,75,496.100000,56.235083,26.611858,5.892760,467.243000,0.455600,-1.350000
2020-12-24,75,496.450000,56.505070,25.033526,5.884484,469.112000,-0.110660,-0.620000
2020-12-28,77,504.000000,61.956813,24.453604,6.038141,470.540000,0.890800,2.820000
2020-12-29,79,512.800000,67.128529,24.663233,5.834786,472.150000,1.160000,4.160000
2020-12-30,79,513.100000,67.291777,25.064025,6.511653,473.808000,0.097542,3.430000
2020-12-31,78,510.900000,64.752214,25.264184,6.884394,475.470000,-0.253810,2.910000
2021-01-04,78,512.100000,65.516658,25.586213,7.265301,477.168000,-0.794270,1.610000
