date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-07-06,71.0,55.879416,122.919266,6.622947,291.8548,4.32,305.57
2020-07-07,68.0,51.400231,119.505471,6.268102,292.6778,1.42,299.91
2020-07-08,68.0,51.577476,116.224993,5.742928,293.3784,-0.34,300.15
2020-07-09,66.0,47.275897,112.788075,4.988894,293.9782,-2.59,294.59
2020-07-10,66.0,48.188186,109.596651,4.729442,294.218,-3.24,295.68
2020-07-13,56.0,44.046689,106.653216,5.122775,294.5222,-3.24,290.18
2020-07-14,68.0,51.242509,103.82676,5.107611,295.1264,-0.4,298.95
2020-07-15,71.0,55.95181,101.307208,5.181045,295.8556,3.78,305.72
2020-07-16,68.0,50.963959,98.783248,5.067998,296.363,1.24,299.35
2020-07-17,70.0,54.214071,96.4669,5.023712,296.9954,4.78,304.06
2020-07-20,73.0,59.109549,94.471214,5.750561,297.6652,4.35,311.96
2020-07-21,70.0,55.577657,92.618077,5.923528,298.1684,0.61,307.6
2020-07-22,73.0,59.063697,90.897306,6.460872,298.8112,4.68,313.37
2020-07-23,71.0,56.207029,89.365692,6.645668,299.567,1.92,309.9
2020-07-24,69.0,53.80047,87.521257,6.739807,300.3222,-1.62,306.92
2020-07-27,70.0,55.146856,85.808567,6.342693,300.9532,0.41,308.86
2020-07-28,69.0,52.978479,84.223244,6.022518,301.501,-2.25,306.33
2020-07-29,70.0,55.205189,82.523472,5.936144,301.889,-0.19,309.3
2020-07-30,70.0,54.922267,80.980678,6.020605,302.2544,0.68,309.0
2020-07-31,70.0,54.451461,79.548084,6.087781,302.449,-0.11,308.53
2020-08-03,72.0,57.815577,78.332622,6.347904,302.8156,2.04,312.59
2020-08-04,72.0,59.252485,77.278008,6.587513,303.2052,1.65,314.39
2020-08-05,78.0,68.100261,76.714756,8.105278,303.6986,6.15,328.0
2020-08-06,78.0,69.231563,76.2324,9.080065,304.306,7.0,330.14
2020-08-07,76.0,66.707655,75.481198,9.514861,304.8204,4.94,328.02
2020-08-10,73.0,60.909781,74.458218,8.717463,305.2602,2.7,322.88
2020-08-11,76.0,64.562333,73.686895,8.920747,305.803,0.16,328.54
2020-08-12,75.0,63.534443,72.970666,9.264631,306.2838,-0.76,327.63
2020-08-13,74.0,61.856196,72.201301,8.92984,306.6662,-0.56,326.19
2020-08-14,75.0,62.31038,71.333489,8.821078,307.1748,1.21,326.8
2020-08-17,76.0,64.845112,70.697276,9.205277,307.5418,0.51,330.23
2020-08-18,76.0,65.407549,70.038636,9.325743,307.9536,1.03,331.0
2020-08-19,76.0,66.458279,69.578915,9.67412,308.3718,1.9,332.4
2020-08-20,78.0,69.916578,69.319297,10.096027,308.8552,3.22,337.32
2020-08-21,78.0,69.571155,69.115724,10.096326,309.7722,2.08,337.1
2020-08-24,80.0,73.726657,69.153075,10.537608,310.6892,3.82,343.64
2020-08-25,81.0,75.904869,69.373549,10.820185,311.699,4.59,347.66
2020-08-26,82.0,77.578098,69.718875,11.300922,312.6298,4.06,351.02
2020-08-27,83.0,79.815383,70.227831,11.843333,313.6746,5.61,356.0
2020-08-28,85.0,83.433041,70.950727,12.975964,314.9,6.54,366.12
2020-08-31,80.0,72.47194,71.621988,13.040203,316.1338,3.03,358.19
2020-09-01,80.0,70.841499,71.309213,12.779867,317.183,1.68,356.9
2020-09-02,81.0,72.783901,71.110777,13.433959,318.2594,1.32,360.7
2020-09-03,72.0,55.210534,68.188283,13.265837,319.256,-6.09,343.84
2020-09-04,69.0,48.5932,63.67515,13.019354,319.996,-6.47,335.01
2020-09-08,67.0,45.203404,59.484384,12.616502,320.8068,-7.57,329.88
2020-09-09,71.0,52.055926,56.25185,12.282328,321.741,-5.84,339.64
2020-09-10,69.0,47.614548,53.458273,12.028807,322.4846,-3.19,332.88
2020-09-11,68.0,45.91096,50.3973,11.795186,323.0642,-1.45,330.15
2020-09-14,72.0,51.674391,48.044377,11.288136,323.7878,2.64,338.6
2020-09-15,71.0,52.026193,46.200175,10.949497,324.4592,-0.15,339.14
2020-09-16,73.0,53.842233,44.667287,10.586466,325.298,2.69,341.85
2020-09-17,72.0,51.950998,42.71952,10.311879,326.0836,2.81,339.43
2020-09-18,70.0,48.771942,40.55761,10.390607,326.897,-0.99,335.26
2020-09-21,66.0,43.659271,38.201564,10.888097,327.5404,-3.33,327.85
2020-09-22,68.0,49.409105,35.534201,11.040227,328.443,-1.91,335.31
2020-09-23,54.0,42.637533,33.232001,11.711036,328.9546,-4.39,324.53
2020-09-24,56.0,45.389073,31.341218,11.897484,329.4044,-2.1,328.21
2020-09-25,64.0,47.995207,29.254296,11.533527,330.053,1.2,331.78
2020-09-28,67.0,52.513789,27.810883,9.821453,330.7396,0.92,338.39
2020-09-29,67.0,50.955712,26.486722,8.709654,331.225,3.61,336.23
2020-09-30,68.0,52.32391,25.579205,7.468035,331.8364,3.03,338.17
2020-10-01,71.0,55.877043,25.061502,5.275,332.4364,3.49,343.37
2020-10-02,69.0,52.217995,23.957853,4.982722,333.015,0.13,338.83
2020-10-05,70.0,55.287807,23.008938,5.279685,333.7416,2.09,343.25
2020-10-06,67.0,50.671482,22.497593,5.122088,334.313,-0.22,337.43
2020-10-07,70.0,55.154328,22.022773,5.351826,335.0644,0.15,343.9
2020-10-08,70.0,55.986535,21.952441,5.628971,335.7814,1.87,345.15
2020-10-09,73.0,60.552604,22.508616,6.348051,336.6492,2.66,352.39
2020-10-12,72.0,60.227321,23.191602,7.053137,337.5194,4.33,352.04
2020-10-13,68.0,54.628935,22.767311,7.226599,338.1844,0.56,345.84
2020-10-14,67.0,51.992988,21.754433,7.245941,338.7506,-0.71,342.7
2020-10-15,57.0,48.666764,20.736266,7.245831,338.962,-3.92,338.57
2020-10-16,65.0,49.367809,19.432385,7.196138,339.1472,-3.59,339.4
2020-10-19,55.0,43.420405,18.897741,6.93934,339.2202,-4.1,331.67
2020-10-20,55.0,43.467846,18.401286,7.086597,339.397,-3.2,331.72
2020-10-21,56.0,45.151768,17.984331,6.399326,339.4946,-1.52,333.42
2020-10-22,56.0,45.337431,17.841286,6.01496,339.614,-1.71,333.6
2020-10-23,55.0,41.947779,17.822105,6.177688,339.6824,-0.62,329.61
2020-10-26,48.0,34.018895,19.181965,7.786527,339.5076,-4.12,318.06
2020-10-27,48.0,33.458701,20.590744,9.102004,339.2452,-4.89,317.11
2020-10-28,36.0,22.602539,23.238867,13.607388,338.4528,-12.66,291.38
2020-10-29,38.0,24.449351,25.741393,16.2842,337.6684,-11.05,293.18
2020-10-30,37.0,22.961162,28.320761,18.851536,336.6948,-9.25,288.64
