date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,71,305.570000,55.879416,122.919266,6.622947,291.854800,-0.352190,4.320000
2020-07-07,68,299.910000,51.400231,119.505471,6.268102,292.677800,-1.080000,1.420000
2020-07-08,68,300.150000,51.577476,116.224993,5.742928,293.378400,-0.252570,-0.340000
2020-07-09,66,294.590000,47.275897,112.788075,4.988894,293.978200,-1.680000,-2.590000
2020-07-10,66,295.680000,48.188186,109.596651,4.729442,294.218000,0.571430,-3.240000
2020-07-13,56,290.180000,44.046689,106.653216,5.122775,294.522200,-2.580000,-3.240000
2020-07-14,68,298.950000,51.242509,103.826760,5.107611,295.126400,2.380000,-0.400000
2020-07-15,71,305.720000,55.951810,101.307208,5.181045,295.855600,0.897690,3.780000
2020-07-16,68,299.350000,50.963959,98.783248,5.067998,296.363000,-1.190000,1.240000
2020-07-17,70,304.060000,54.214071,96.466900,5.023712,296.995400,0.772210,4.780000
2020-07-20,73,311.960000,59.109549,94.471214,5.750561,297.665200,3.330000,4.350000
2020-07-21,70,307.600000,55.577657,92.618077,5.923528,298.168400,-1.730000,0.610000
2020-07-22,73,313.370000,59.063697,90.897306,6.460872,298.811200,1.700000,4.680000
2020-07-23,71,309.900000,56.207029,89.365692,6.645668,299.567000,-1.160000,1.920000
2020-07-24,69,306.920000,53.800470,87.521257,6.739807,300.322200,0.143570,-1.620000
2020-07-27,70,308.860000,55.146856,85.808567,6.342693,300.953200,0.586200,0.410000
2020-07-28,69,306.330000,52.978479,84.223244,6.022518,301.501000,-0.703400,-2.250000
2020-07-29,70,309.300000,55.205189,82.523472,5.936144,301.889000,1.580000,-0.190000
2020-07-30,70,309.000000,54.922267,80.980678,6.020605,302.254400,1.640000,0.680000
2020-07-31,70,308.530000,54.451461,79.548084,6.087781,302.449000,-0.474190,-0.110000
2020-08-03,72,312.590000,57.815577,78.332622,6.347904,302.815600,0.511250,2.040000
2020-08-04,72,314.390000,59.252485,77.278008,6.587513,303.205200,0.604800,1.650000
2020-08-05,78,328.000000,68.100261,76.714756,8.105278,303.698600,3.680000,6.150000
2020-08-06,78,330.140000,69.231563,76.232400,9.080065,304.306000,0.836900,7.000000
2020-08-07,76,328.020000,66.707655,75.481198,9.514861,304.820400,0.006098,4.940000
2020-08-10,73,322.880000,60.909781,74.458218,8.717463,305.260200,-1.320000,2.700000
2020-08-11,76,328.540000,64.562333,73.686895,8.920747,305.803000,1.090000,0.160000
2020-08-12,75,327.630000,63.534443,72.970666,9.264631,306.283800,-0.313390,-0.760000
2020-08-13,74,326.190000,61.856196,72.201301,8.929840,306.666200,0.079772,-0.560000
2020-08-14,75,326.800000,62.310380,71.333489,8.821078,307.174800,0.346980,1.210000
2020-08-17,76,330.230000,64.845112,70.697276,9.205277,307.541800,0.987770,0.510000
2020-08-18,76,331.000000,65.407549,70.038636,9.325743,307.953600,0.242280,1.030000
2020-08-19,76,332.400000,66.458279,69.578915,9.674120,308.371800,0.715060,1.900000
2020-08-20,78,337.320000,69.916578,69.319297,10.096027,308.855200,2.160000,3.220000
2020-08-21,78,337.100000,69.571155,69.115724,10.096326,309.772200,-0.266270,2.080000
2020-08-24,80,343.640000,73.726657,69.153075,10.537608,310.689200,1.260000,3.820000
2020-08-25,81,347.660000,75.904869,69.373549,10.820185,311.699000,0.855790,4.590000
2020-08-26,82,351.020000,77.578098,69.718875,11.300922,312.629800,0.867820,4.060000
2020-08-27,83,356.000000,79.815383,70.227831,11.843333,313.674600,1.210000,5.610000
2020-08-28,85,366.120000,83.433041,70.950727,12.975964,314.900000,2.420000,6.540000
2020-08-31,80,358.190000,72.471940,71.621988,13.040203,316.133800,-2.300000,3.030000
2020-09-01,80,356.900000,70.841499,71.309213,12.779867,317.183000,-0.226440,1.680000
2020-09-02,81,360.700000,72.783901,71.110777,13.433959,318.259400,0.926160,1.320000
2020-09-03,72,343.840000,55.210534,68.188283,13.265837,319.256000,-4.080000,-6.090000
2020-09-04,69,335.010000,48.593200,63.675150,13.019354,319.996000,-2.330000,-6.470000
2020-09-08,67,329.880000,45.203404,59.484384,12.616502,320.806800,0.340670,-7.570000
2020-09-09,71,339.640000,52.055926,56.251850,12.282328,321.741000,0.666880,-5.840000
2020-09-10,69,332.880000,47.614548,53.458273,12.028807,322.484600,-2.810000,-3.190000
2020-09-11,68,330.150000,45.910960,50.397300,11.795186,323.064200,-1.360000,-1.450000
2020-09-14,72,338.600000,51.674391,48.044377,11.288136,323.787800,1.080000,2.640000
2020-09-15,71,339.140000,52.026193,46.200175,10.949497,324.459200,-1.050000,-0.150000
2020-09-16,73,341.850000,53.842233,44.667287,10.586466,325.298000,0.167020,2.690000
2020-09-17,72,339.430000,51.950998,42.719520,10.311879,326.083600,0.679240,2.810000
2020-09-18,70,335.260000,48.771942,40.557610,10.390607,326.897000,-0.872240,-0.990000
2020-09-21,66,327.850000,43.659271,38.201564,10.888097,327.540400,-0.491700,-3.330000
2020-09-22,68,335.310000,49.409105,35.534201,11.040227,328.443000,1.760000,-1.910000
2020-09-23,54,324.530000,42.637533,33.232001,11.711036,328.954600,-3.080000,-4.390000
2020-09-24,56,328.210000,45.389073,31.341218,11.897484,329.404400,1.550000,-2.100000
2020-09-25,64,331.780000,47.995207,29.254296,11.533527,330.053000,1.880000,1.200000
2020-09-28,67,338.390000,52.513789,27.810883,9.821453,330.739600,0.528800,0.920000
2020-09-29,67,336.230000,50.955712,26.486722,8.709654,331.225000,-0.638320,3.610000
2020-09-30,68,338.170000,52.323910,25.579205,7.468035,331.836400,0.436590,3.030000
2020-10-01,71,343.370000,55.877043,25.061502,5.275000,332.436400,0.330180,3.490000
2020-10-02,69,338.830000,52.217995,23.957853,4.982722,333.015000,0.165550,0.130000
2020-10-05,70,343.250000,55.287807,23.008938,5.279685,333.741600,0.459490,2.090000
2020-10-06,67,337.430000,50.671482,22.497593,5.122088,334.313000,-1.350000,-0.220000
2020-10-07,70,343.900000,55.154328,22.022773,5.351826,335.064400,0.620280,0.150000
2020-10-08,70,345.150000,55.986535,21.952441,5.628971,335.781400,0.040579,1.870000
2020-10-09,73,352.390000,60.552604,22.508616,6.348051,336.649200,1.260000,2.660000
2020-10-12,72,352.040000,60.227321,23.191602,7.053137,337.519400,-0.833800,4.330000
2020-10-13,68,345.840000,54.628935,22.767311,7.226599,338.184400,-1.590000,0.560000
