date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-06,65,151.510000,49.636651,109.513671,4.123622,148.051200,-1.890000,-0.170000
2020-07-07,53,145.800000,42.429164,106.071487,3.537063,148.168400,-1.630000,-4.970000
2020-07-08,52,144.570000,41.046522,102.626171,3.317009,148.194200,-1.160000,-4.200000
2020-07-09,47,140.890000,37.146291,99.000194,3.979306,148.204800,-2.660000,-7.750000
2020-07-10,49,143.020000,40.660855,95.633216,4.237938,148.260000,1.430000,-5.600000
2020-07-13,52,144.980000,43.776312,92.626158,4.389853,148.334600,0.736520,-0.560000
2020-07-14,55,147.840000,48.061444,89.886478,4.419122,148.597400,2.630000,2.260000
2020-07-15,69,153.500000,55.319181,87.560336,4.268739,148.953800,2.390000,8.950000
2020-07-16,68,153.370000,55.128637,85.459329,4.221284,149.350200,0.241830,7.240000
2020-07-17,69,154.810000,56.899600,83.518537,4.285463,149.809200,0.728740,6.780000
2020-07-20,67,153.500000,54.781399,81.446979,4.096173,150.187600,-0.846200,3.830000
2020-07-21,69,155.980000,57.971242,79.612714,4.166692,150.587800,1.290000,1.620000
2020-07-22,69,156.250000,58.316002,77.941675,4.312111,150.907600,0.269520,1.880000
2020-07-23,69,156.660000,58.867774,76.412365,4.533611,151.345400,0.019153,1.200000
2020-07-24,67,155.340000,56.284598,74.790922,4.651047,151.859600,-0.842590,1.200000
2020-07-27,69,157.150000,58.944907,72.865435,4.811982,152.414200,1.720000,0.750000
2020-07-28,65,153.890000,52.721741,71.077482,4.846596,152.763000,-1.980000,-1.510000
2020-07-29,67,155.700000,55.529032,69.222162,4.921220,153.023400,0.464580,-0.610000
2020-07-30,64,153.610000,51.710830,67.093979,4.942366,153.203000,-0.569620,-1.110000
2020-07-31,53,150.160000,46.078417,64.213577,4.943556,153.279000,-2.180000,-4.450000
2020-08-03,71,159.900000,59.492786,62.259025,5.277540,153.560600,2.720000,3.910000
2020-08-04,67,157.020000,55.125811,60.444084,5.200818,153.712600,-1.250000,0.850000
2020-08-05,56,153.670000,50.483809,58.074174,4.883679,153.802200,-2.760000,0.040000
2020-08-06,56,151.750000,47.989569,55.522662,4.055965,153.730400,-0.583070,1.060000
2020-08-07,57,152.000000,48.347420,53.092924,3.309916,153.633200,0.775710,-4.940000
2020-08-10,58,152.390000,48.937678,51.067446,2.643491,153.507600,0.296170,-2.950000
2020-08-11,58,151.310000,47.324941,49.236113,2.311832,153.355000,-1.280000,-1.540000
2020-08-12,60,153.000000,50.096347,47.607009,2.324079,153.151200,0.657890,0.820000
2020-08-13,59,152.190000,48.771857,45.601158,2.363437,152.960600,0.059172,0.120000
2020-08-14,73,158.670000,58.275805,44.832042,2.546570,152.943600,4.820000,4.120000
2020-08-17,69,155.790000,53.523121,44.127787,2.550199,152.827000,-2.630000,2.960000
2020-08-18,69,155.540000,53.118148,43.418809,2.540263,152.644200,-0.025710,1.660000
2020-08-19,67,153.340000,49.564133,42.096872,2.524851,152.487200,-1.300000,0.760000
2020-08-20,57,151.890000,47.317027,40.465239,2.530489,152.437200,-0.046065,-4.270000
2020-08-21,56,150.970000,45.895260,38.495535,2.611335,152.525400,-0.330100,-3.090000
2020-08-24,53,149.660000,43.873719,36.268046,2.668750,152.553600,-1.510000,-3.780000
