date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-22,79,239.220000,64.239288,129.976626,4.542639,212.430400,0.276660,1.510000
2020-06-23,80,242.240000,66.570455,126.368577,5.056205,213.779400,0.397880,2.850000
2020-06-24,74,234.020000,55.890803,122.436037,5.002694,214.896400,-2.980000,-0.810000
2020-06-25,75,235.680000,57.377874,118.784393,4.741482,216.070600,0.451790,-1.300000
2020-06-26,53,216.080000,40.161403,114.012623,5.809418,216.867200,-7.120000,-9.670000
2020-06-29,63,220.640000,44.345426,108.985570,6.392128,217.695200,5.190000,-8.920000
2020-06-30,67,227.070000,49.687604,104.502552,6.491490,218.671800,2.940000,-2.970000
2020-07-01,74,237.550000,56.942074,100.638349,6.584782,220.006800,3.960000,0.790000
2020-07-02,71,233.420000,53.658531,97.075764,6.436266,221.029600,-2.330000,8.020000
2020-07-06,75,240.280000,57.991686,93.778563,6.621383,222.132600,2.790000,8.900000
2020-07-07,75,240.860000,58.346316,90.917138,6.809618,223.148400,0.605660,6.070000
2020-07-08,75,243.580000,60.049604,88.056216,7.068186,224.270000,2.300000,2.540000
2020-07-09,75,244.500000,60.635928,85.399645,7.415874,225.501800,-0.204080,4.750000
2020-07-10,74,245.070000,61.017660,82.932830,7.402781,226.519400,0.566290,1.990000
2020-07-13,70,239.000000,54.910872,80.804447,7.272812,227.205200,-3.240000,-0.770000
2020-07-14,70,239.730000,55.487845,78.129155,7.275458,227.954400,1.250000,-1.580000
2020-07-15,70,240.280000,55.945249,75.831586,7.326405,228.654800,-0.525770,-1.730000
2020-07-16,71,240.930000,56.513982,73.503454,7.385902,229.332000,1.230000,-1.690000
2020-07-17,71,242.030000,57.513589,71.452274,7.471519,230.003200,0.427390,1.270000
2020-07-20,73,245.420000,60.525144,69.273877,7.685452,230.686400,2.230000,2.370000
2020-07-21,70,241.750000,55.905129,67.297141,7.735356,231.274400,-1.820000,0.610000
2020-07-22,69,239.870000,53.646096,65.197561,7.679889,231.808200,-0.162320,-0.440000
2020-07-23,64,232.600000,45.918881,62.423286,7.717171,232.258200,-2.930000,-3.900000
2020-07-24,55,230.710000,44.138888,59.267402,7.844846,232.770400,0.225900,-5.990000
2020-07-27,66,233.500000,47.381483,56.456071,6.276450,233.304200,0.881360,-3.410000
2020-07-28,57,230.120000,44.045800,53.718581,5.221374,233.689000,-1.920000,-4.060000
2020-07-29,60,233.290000,47.760334,51.176627,4.695187,234.091000,0.930170,0.300000
2020-07-30,69,234.500000,49.148017,48.630383,4.779631,234.443400,1.860000,1.640000
2020-07-31,77,253.670000,65.007429,47.925960,5.647127,234.917400,-0.840430,8.640000
2020-08-03,76,251.960000,63.116478,47.271853,6.259589,235.328800,-0.273110,9.490000
2020-08-04,74,249.830000,60.746171,46.245392,6.604894,235.627200,-0.687710,7.090000
2020-08-05,73,249.120000,59.938140,45.292249,6.835494,235.965600,-0.427670,6.230000
2020-08-06,79,265.280000,69.788457,45.341965,8.644544,236.688400,6.520000,4.580000
2020-08-07,79,268.440000,71.275756,45.977027,10.392390,237.548000,1.650000,6.540000
2020-08-10,75,263.000000,65.314583,46.041879,11.203489,238.306200,-1.880000,5.270000
2020-08-11,72,256.130000,58.644105,45.484425,11.436630,238.790600,-1.560000,2.810000
