date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-08-06,88,11.340000,71.684689,131.236619,0.388050,9.756000,-0.088106,6.880000
2020-08-07,85,11.200000,67.530484,127.703311,0.415686,9.810200,-0.972590,1.730000
2020-08-10,84,11.170000,66.639297,124.054578,0.420041,9.856000,-1.410000,-0.530000
2020-08-11,80,10.850000,57.866976,120.539467,0.419915,9.896800,-1.990000,-3.900000
2020-08-12,86,11.440000,66.597650,117.376551,0.444516,9.949000,4.090000,0.880000
2020-08-13,86,11.440000,66.597650,114.513994,0.453668,10.002400,-0.952380,2.140000
2020-08-14,86,11.560000,68.154245,111.855904,0.467109,10.058200,0.260190,3.490000
2020-08-17,92,12.340000,75.987385,109.592479,0.565672,10.126600,4.140000,13.730000
2020-08-18,90,12.260000,73.977532,107.514739,0.619765,10.195600,-1.530000,7.170000
2020-08-19,89,12.140000,70.946239,105.585409,0.651394,10.257400,-1.300000,6.120000
2020-08-20,88,12.140000,70.946240,103.202714,0.649656,10.312800,1.340000,5.020000
2020-08-21,91,12.680000,76.064793,101.164816,0.682597,10.390400,3.930000,2.760000
2020-08-24,91,12.720000,76.396514,99.311503,0.714132,10.466200,-1.240000,3.750000
2020-08-25,91,12.750000,76.657804,97.590570,0.711603,10.537800,0.950120,5.020000
2020-08-26,91,12.770000,76.841861,96.039962,0.711603,10.611800,-0.234380,5.190000
2020-08-27,88,12.630000,72.530586,94.247964,0.696105,10.679600,-1.170000,-0.390000
2020-08-28,91,13.150000,77.565429,92.741790,0.703004,10.758200,3.790000,3.380000
2020-08-31,92,13.370000,79.294550,91.544635,0.739887,10.840400,1.440000,4.860000
2020-09-01,92,13.820000,82.299677,90.600069,0.812743,10.926200,2.520000,8.220000
2020-09-02,93,14.350000,85.051519,89.969443,0.917194,11.024200,-2.380000,13.620000
2020-09-03,84,13.020000,59.889180,86.902519,0.901676,11.099800,-5.860000,-0.990000
2020-09-04,80,12.620000,54.652325,82.034966,0.860127,11.162400,-1.250000,-5.610000
2020-09-08,73,11.910000,46.825469,77.515095,0.818716,11.217600,1.530000,-13.820000
2020-09-09,80,12.720000,54.781656,73.589894,0.726789,11.288000,2.580000,-11.360000
2020-09-10,76,12.310000,50.650528,70.210687,0.681172,11.344200,-5.230000,-5.450000
2020-09-11,75,12.160000,49.189045,66.613119,0.634491,11.396800,-2.640000,-3.650000
2020-09-14,82,12.870000,55.704194,63.958859,0.581853,11.462000,-1.610000,8.060000
2020-09-15,82,12.990000,56.714418,61.494188,0.576931,11.525000,-2.180000,2.120000
2020-09-16,77,12.510000,51.641064,58.629803,0.568412,11.577800,-3.470000,1.620000
2020-09-17,77,12.460000,51.127998,55.177561,0.554463,11.622600,2.720000,2.470000
2020-09-18,73,12.190000,48.335315,52.024032,0.551598,11.656200,-3.180000,-5.280000
2020-09-21,77,12.520000,51.800602,48.942449,0.554433,11.697000,4.950000,-3.620000
2020-09-22,78,12.640000,53.034216,46.270978,0.555226,11.748800,0.476950,1.040000
2020-09-23,72,12.120000,47.375730,43.790325,0.574041,11.783600,-3.660000,-2.730000
2020-09-24,75,12.350000,49.920861,41.344216,0.580805,11.826000,2.320000,1.310000
2020-09-25,79,12.870000,55.196729,39.581129,0.580981,11.880800,3.370000,2.800000
2020-09-28,79,13.040000,56.799088,38.208270,0.577656,11.937600,0.000000,3.160000
2020-09-29,81,13.230000,58.581997,37.495761,0.570811,11.992000,2.240000,9.160000
2020-09-30,83,13.530000,61.297951,37.074207,0.546219,12.056000,2.810000,9.550000
2020-10-01,83,13.610000,62.013300,36.867190,0.451423,12.119400,-1.090000,5.750000
2020-10-02,77,13.060000,54.548405,35.655436,0.452995,12.178000,-1.280000,0.150000
2020-10-05,81,13.640000,60.014659,34.715846,0.497939,12.247000,3.020000,3.100000
2020-10-06,81,13.740000,60.888046,34.546809,0.505733,12.313400,-0.650760,1.550000
2020-10-07,82,13.960000,62.812513,34.389846,0.561614,12.388200,-0.285710,2.570000
2020-10-08,81,13.840000,61.048038,33.973427,0.581260,12.455600,-1.700000,5.970000
2020-10-09,80,13.760000,59.841160,33.312078,0.574824,12.518600,-0.072622,0.880000
2020-10-12,83,14.230000,64.305756,33.482170,0.627913,12.591000,1.720000,3.570000
2020-10-13,83,14.250000,64.486685,33.640113,0.673794,12.655800,-0.349650,2.080000
2020-10-14,81,14.100000,61.950386,33.604685,0.684069,12.713200,-1.330000,1.880000
2020-10-15,80,13.970000,59.756800,32.999170,0.675210,12.766800,1.160000,1.530000
2020-10-16,77,13.810000,57.077997,32.630408,0.628874,12.816200,-1.640000,-2.950000
2020-10-19,73,13.500000,52.195800,31.204690,0.594591,12.862200,-2.880000,-5.260000
2020-10-20,75,13.650000,54.235604,29.880810,0.564731,12.911800,0.515460,-3.190000
2020-10-21,73,13.520000,52.158382,28.565012,0.465834,12.965200,-0.807040,-3.220000
2020-10-22,72,13.360000,49.638509,26.642963,0.375397,13.003600,-1.180000,-3.260000
2020-10-23,74,13.590000,53.142977,24.858203,0.332528,13.046600,1.040000,0.670000
2020-10-26,70,13.140000,46.347510,23.636429,0.323658,13.078200,-2.160000,-3.740000
2020-10-27,72,13.400000,50.301725,22.501924,0.313960,13.099400,0.676180,-0.890000
2020-10-28,56,12.630000,40.728276,22.762283,0.388350,13.106800,-4.320000,-5.460000
2020-10-29,60,13.020000,46.302660,23.004044,0.411099,13.124400,1.400000,-4.190000
2020-10-30,55,12.530000,41.075686,24.031032,0.459800,13.132200,-2.490000,-4.640000
2020-11-02,51,12.580000,41.797697,24.984663,0.508566,13.130200,-0.631910,-6.120000
2020-11-03,56,13.020000,47.853117,24.930834,0.517756,13.136200,2.440000,3.090000
2020-11-04,74,13.790000,56.401741,23.332654,0.511375,13.157000,2.990000,5.910000
2020-11-05,77,14.160000,59.811077,22.831767,0.527015,13.184800,0.000000,13.010000
2020-11-06,80,14.560000,63.164656,22.781424,0.573502,13.223400,3.190000,15.740000
2020-11-09,70,13.630000,52.248217,22.038800,0.551937,13.233000,-6.320000,4.690000
2020-11-10,55,12.770000,44.576190,21.386098,0.547022,13.221000,-6.170000,-7.400000
2020-11-11,68,13.420000,50.493209,20.780018,0.525432,13.213000,2.840000,-5.230000
2020-11-12,68,13.460000,50.841018,19.547774,0.509403,13.195200,-0.148370,-7.550000
2020-11-13,67,13.300000,49.347583,18.844490,0.499763,13.200800,-2.420000,-2.420000
2020-11-16,70,13.520000,51.458975,18.191441,0.500079,13.218800,2.660000,5.870000
2020-11-17,64,13.420000,50.429966,17.585038,0.495731,13.249000,-0.959410,0.000000
2020-11-18,68,13.430000,50.536485,17.232907,0.494492,13.263200,-0.296960,-0.220000
2020-11-19,68,13.440000,50.650688,17.080690,0.494990,13.285800,1.740000,1.050000
2020-11-20,57,13.090000,46.595714,16.999716,0.494383,13.304400,-2.680000,-3.180000
2020-11-23,57,13.140000,47.245469,17.029923,0.494383,13.309800,-0.227790,-2.090000
2020-11-24,56,12.960000,45.117313,17.334316,0.499893,13.309200,-1.370000,-3.500000
2020-11-25,58,13.230000,48.839945,17.262237,0.476637,13.323600,1.530000,-1.560000
2020-11-27,58,13.260000,49.251833,16.753789,0.471842,13.339600,-0.896860,1.300000
2020-11-30,67,13.400000,51.225318,16.766703,0.434176,13.363800,0.979650,1.980000
2020-12-01,68,13.390000,51.072541,16.389822,0.393643,13.381200,-0.741290,3.320000
2020-12-02,69,13.540000,53.321423,15.599768,0.383438,13.399200,1.420000,2.340000
2020-12-03,60,13.400000,50.966805,14.866147,0.375252,13.424800,-1.400000,1.060000
2020-12-04,69,13.560000,53.494368,14.184928,0.337452,13.449000,0.817840,1.190000
2020-12-07,71,13.610000,54.287393,13.372873,0.214855,13.463800,0.073529,1.640000
2020-12-08,61,13.350000,49.555282,12.931003,0.204951,13.470000,-1.770000,-1.400000
2020-12-09,57,12.930000,43.030150,13.603697,0.184902,13.464000,-2.780000,-3.510000
2020-12-10,58,12.970000,43.789281,14.275535,0.200798,13.452800,0.777000,-4.350000
2020-12-11,58,13.010000,44.584498,14.973948,0.208899,13.440800,0.308400,-4.410000
2020-12-14,61,13.310000,50.267204,14.270259,0.208916,13.445800,1.680000,-0.300000
2020-12-15,62,13.360000,51.166037,13.390413,0.203249,13.440200,-0.595240,3.330000
