date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-07-02,69,38.420000,54.959647,119.997312,0.646817,36.912600,-0.207790,2.290000
2020-07-06,72,39.320000,60.564037,116.663852,0.690161,37.058800,1.390000,3.880000
2020-07-07,70,38.840000,56.524370,113.574187,0.626675,37.190800,-1.120000,1.460000
2020-07-08,75,40.470000,65.049732,110.762773,0.790199,37.344000,3.770000,5.860000
2020-07-09,76,41.430000,68.915840,108.244535,1.050082,37.527400,1.890000,7.830000
2020-07-10,75,41.490000,69.145562,105.906171,1.202133,37.698200,0.096502,5.520000
2020-07-13,70,40.180000,58.909019,103.834283,1.189145,37.846800,-3.670000,3.450000
2020-07-14,72,40.890000,62.177257,101.371225,1.250698,38.015600,2.200000,1.040000
2020-07-15,67,40.080000,56.642239,99.108074,1.261659,38.177800,-2.430000,-3.260000
2020-07-16,66,39.560000,53.358319,96.473591,1.253217,38.308400,-0.277290,-4.650000
2020-07-17,67,39.970000,55.546699,94.058056,1.257277,38.437000,0.629410,-0.520000
2020-07-20,73,41.930000,64.195275,92.113638,1.382262,38.565200,4.200000,2.540000
2020-07-21,71,41.550000,61.689379,90.322661,1.457756,38.683000,-1.190000,3.670000
2020-07-22,72,41.730000,62.437358,88.718833,1.507618,38.790000,-0.334370,5.490000
2020-07-23,71,41.420000,60.255429,86.976810,1.447898,38.904600,-0.647640,3.630000
2020-07-24,67,40.630000,54.982292,84.603281,1.378682,38.998000,-0.318940,-3.100000
2020-07-27,70,41.280000,58.221898,82.505456,1.285912,39.091800,1.030000,-0.650000
2020-07-28,69,40.800000,55.070243,80.608296,1.174872,39.165000,-1.090000,-2.230000
2020-07-29,71,41.420000,58.216489,78.926633,1.098420,39.239600,0.485200,0.000000
2020-07-30,73,41.960000,60.791759,77.093514,1.013604,39.321600,1.940000,3.270000
2020-07-31,75,42.650000,63.857111,75.543149,0.962388,39.393000,1.140000,3.320000
2020-08-03,74,42.400000,61.966781,74.129807,0.946739,39.476000,-0.586170,3.920000
2020-08-04,74,42.480000,62.350858,72.487144,0.852675,39.532600,0.735120,2.560000
2020-08-05,77,44.020000,68.868248,71.528663,1.029972,39.642400,1.970000,4.910000
2020-08-06,76,44.310000,69.924091,70.638646,1.210512,39.756000,0.453410,3.890000
2020-08-07,73,43.540000,63.742476,69.534587,1.286554,39.862200,-1.450000,2.690000
2020-08-10,71,43.040000,60.031255,67.820104,1.275222,39.938800,-1.150000,1.320000
2020-08-11,69,42.540000,56.489332,66.228083,1.268134,39.995200,-0.467950,-3.360000
2020-08-12,71,43.300000,60.321506,64.806829,1.235206,40.061600,1.410000,-2.280000
2020-08-13,73,43.590000,61.707411,63.626214,1.141567,40.155400,0.786130,0.110000
2020-08-14,72,43.180000,58.591514,62.529928,1.033345,40.263400,-1.100000,0.330000
2020-08-17,74,43.740000,61.454436,61.637914,1.067909,40.367000,0.853120,2.820000
2020-08-18,75,44.290000,64.081087,61.208061,1.114672,40.460200,-0.471910,2.290000
2020-08-19,77,44.910000,66.825480,60.994400,1.200452,40.579800,0.989430,3.030000
2020-08-20,77,45.420000,68.928524,60.879456,1.288055,40.712600,1.570000,5.190000
2020-08-21,75,44.890000,64.362218,60.873126,1.233745,40.870600,-1.560000,2.630000
2020-08-24,73,44.510000,61.230201,59.909835,1.183809,41.021400,-2.540000,0.500000
2020-08-25,70,43.500000,53.744241,57.906425,1.029230,41.137000,0.392340,-3.140000
2020-08-26,71,43.910000,56.091071,56.046116,0.916384,41.252800,0.942530,-3.320000
2020-08-27,67,42.560000,47.538511,52.640278,0.870585,41.339800,-2.900000,-5.190000
2020-08-28,67,42.440000,46.854621,49.477714,0.883619,41.420800,-0.887440,-4.650000
2020-08-31,68,42.900000,49.833912,46.541048,0.855121,41.509800,1.490000,-1.380000
2020-09-01,69,43.080000,50.991667,44.272122,0.823361,41.595200,-0.162220,-1.890000
2020-09-02,68,42.910000,49.822194,41.459539,0.836120,41.689000,-0.763180,0.820000
2020-09-03,51,40.370000,36.392354,40.248161,1.080629,41.751800,-4.470000,-4.880000
2020-09-04,47,39.270000,32.328193,40.118674,1.409709,41.780800,-2.090000,-8.460000
2020-09-08,46,38.990000,31.367912,39.998435,1.684721,41.809400,1.720000,-9.490000
2020-09-09,48,39.730000,36.717941,39.458229,1.829433,41.847000,-0.351140,-7.410000
2020-09-10,48,39.490000,35.744735,38.405666,1.968305,41.871200,-0.753960,-2.180000
2020-09-11,51,40.490000,42.574493,37.283093,2.012421,41.916400,0.396730,3.110000
2020-09-14,52,40.950000,45.446983,35.599209,2.034915,41.967000,-0.121950,5.030000
2020-09-15,53,41.350000,47.888036,33.751194,2.023889,42.007600,0.048391,4.080000
2020-09-16,51,41.140000,46.706416,31.846208,1.984934,42.053600,-0.795760,4.180000
