date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price
2020-06-22,73.0,55.657637,117.57674,2.961981,184.0674,1.08,194.96
2020-06-23,75.0,59.444133,115.016179,3.015953,184.647,2.28,197.97
2020-06-24,69.0,49.519456,112.110342,3.082638,184.9828,-1.29,191.41
2020-06-25,72.0,52.84133,109.328598,3.086436,185.5432,0.93,193.98
2020-06-26,67.0,46.76734,106.653566,3.323538,186.0802,-2.92,189.27
2020-06-29,69.0,49.564295,103.959818,3.399182,186.517,-3.33,191.38
2020-06-30,70.0,51.874432,101.510007,3.383108,187.096,0.92,193.17
2020-07-01,71.0,52.670036,99.272244,3.334407,187.761,-0.1,193.78
2020-07-02,72.0,55.144352,97.255521,3.347023,188.3426,3.38,195.67
2020-07-06,74.0,57.773261,95.413767,3.22196,188.9702,3.33,197.76
2020-07-07,71.0,52.165023,93.417841,2.974735,189.5078,0.53,194.2
2020-07-08,72.0,53.356657,91.454612,2.747162,189.974,0.67,195.07
2020-07-09,69.0,49.032396,89.116422,2.282815,190.3932,-1.77,192.21
2020-07-10,70.0,49.555793,86.860504,2.055174,190.6084,-2.63,192.55
2020-07-13,59.0,44.451828,84.8751,2.263476,190.8144,-2.67,189.02
2020-07-14,70.0,51.077229,82.755418,2.234514,191.1696,-0.89,193.33
2020-07-15,73.0,55.360946,81.007716,2.331705,191.5776,2.26,196.55
2020-07-16,70.0,50.821666,79.011165,2.33179,191.8788,0.49,193.5
2020-07-17,72.0,52.985855,77.157225,2.353851,192.205,3.21,195.09
2020-07-20,74.0,57.288806,75.671665,2.548849,192.52,2.66,198.47
2020-07-21,71.0,54.146631,74.333353,2.599483,192.7478,-0.04,196.48
2020-07-22,74.0,57.172122,73.090635,2.672908,193.0538,2.77,198.86
2020-07-23,72.0,54.831154,72.064217,2.693326,193.413,1.2,197.43
2020-07-24,70.0,51.229401,70.520551,2.696522,193.7742,-1.67,195.15
2020-07-27,72.0,53.754723,69.114237,2.467501,194.0944,0.22,196.91
2020-07-28,71.0,53.466743,67.940095,2.367393,194.3594,-1.07,196.74
2020-07-29,73.0,56.201744,65.90583,2.439729,194.5034,0.58,198.58
