date,FGIndex,price,rsi,adx,standard_deviation,sma50,one_day_percentage,five_day_percentage
2020-06-22,73,194.960000,55.657637,117.576740,2.961981,184.067400,1.550000,1.080000
2020-06-23,75,197.970000,59.444133,115.016179,3.015953,184.647000,0.876430,2.280000
2020-06-24,69,191.410000,49.519456,112.110342,3.082638,184.982800,-2.850000,-1.290000
2020-06-25,72,193.980000,52.841330,109.328598,3.086436,185.543200,1.510000,0.930000
2020-06-26,67,189.270000,46.767340,106.653566,3.323538,186.080200,-1.980000,-2.920000
2020-06-29,69,191.380000,49.564295,103.959818,3.399182,186.517000,0.774050,-3.330000
2020-06-30,70,193.170000,51.874432,101.510007,3.383108,187.096000,0.877330,0.920000
2020-07-01,71,193.780000,52.670036,99.272244,3.334407,187.761000,-0.036110,-0.100000
2020-07-02,72,195.670000,55.144352,97.255521,3.347023,188.342600,-0.168370,3.380000
2020-07-06,74,197.760000,57.773261,95.413767,3.221960,188.970200,-0.488100,3.330000
2020-07-07,71,194.200000,52.165023,93.417841,2.974735,189.507800,-1.330000,0.530000
2020-07-08,72,195.070000,53.356657,91.454612,2.747162,189.974000,-0.005126,0.670000
2020-07-09,69,192.210000,49.032396,89.116422,2.282815,190.393200,-1.430000,-1.770000
2020-07-10,70,192.550000,49.555793,86.860504,2.055174,190.608400,0.469610,-2.630000
2020-07-13,59,189.020000,44.451828,84.875100,2.263476,190.814400,-2.370000,-2.670000
2020-07-14,70,193.330000,51.077229,82.755418,2.234514,191.169600,2.020000,-0.890000
2020-07-15,73,196.550000,55.360946,81.007716,2.331705,191.577600,0.676130,2.260000
2020-07-16,70,193.500000,50.821666,79.011165,2.331790,191.878800,-0.936880,0.490000
2020-07-17,72,195.090000,52.985855,77.157225,2.353851,192.205000,0.133450,3.210000
2020-07-20,74,198.470000,57.288806,75.671665,2.548849,192.520000,1.920000,2.660000
2020-07-21,71,196.480000,54.146631,74.333353,2.599483,192.747800,-1.760000,-0.040000
2020-07-22,74,198.860000,57.172122,73.090635,2.672908,193.053800,1.210000,2.770000
2020-07-23,72,197.430000,54.831154,72.064217,2.693326,193.413000,-0.508970,1.200000
2020-07-24,70,195.150000,51.229401,70.520551,2.696522,193.774200,-0.265750,-1.670000
2020-07-27,72,196.910000,53.754723,69.114237,2.467501,194.094400,0.896700,0.220000
2020-07-28,71,196.740000,53.466743,67.940095,2.367393,194.359400,-0.480550,-1.070000
2020-07-29,73,198.580000,56.201744,65.905830,2.439729,194.503400,2.840000,0.580000
2020-07-30,62,194.060000,48.638937,63.786372,2.431368,194.597400,-0.584020,-0.560000
2020-07-31,58,190.400000,43.530863,61.166348,2.660588,194.528200,-2.070000,-3.310000
2020-08-03,59,190.690000,44.032409,58.733469,2.754109,194.529600,-0.578730,-3.080000
2020-08-04,60,192.290000,46.837904,56.440275,2.804678,194.558200,0.606920,-3.170000
2020-08-05,71,196.100000,52.893333,55.045392,2.820978,194.615800,1.310000,1.050000
2020-08-06,73,198.770000,56.622234,53.844191,2.890523,194.734800,1.420000,4.400000
2020-08-07,71,196.360000,52.576649,52.728790,2.844769,194.776800,-0.622500,2.970000
2020-08-10,71,196.790000,53.218897,51.740177,2.475532,194.807800,0.218990,2.340000
2020-08-11,72,197.770000,54.723843,51.422990,2.458570,194.876200,-0.025275,0.850000
2020-08-12,72,198.740000,56.224938,51.128460,2.534914,194.923800,-0.130650,-0.020000
2020-08-13,72,197.580000,53.922549,50.429208,2.492633,194.938000,0.228280,0.620000
2020-08-14,71,196.640000,52.062069,49.341655,2.482141,194.998000,-0.187810,-0.080000
2020-08-17,73,199.430000,56.823769,48.708769,2.533542,194.994400,1.080000,0.840000
2020-08-18,72,199.010000,55.923226,48.121089,2.602177,194.982600,-0.485050,0.140000
2020-08-19,74,200.990000,59.205509,47.990810,2.740002,195.020800,1.040000,1.730000
2020-08-20,76,204.150000,63.834326,48.091906,3.203615,195.094200,2.130000,3.820000
2020-08-21,75,204.130000,63.784994,48.281736,3.544042,195.399200,-0.180930,2.360000
2020-08-24,77,206.410000,66.923147,48.636695,4.058378,195.682200,0.682890,3.720000
2020-08-25,77,208.100000,69.063075,49.193693,4.627866,196.009000,0.439210,3.540000
2020-08-26,78,210.260000,71.592701,50.016647,5.307206,196.356600,1.040000,2.990000
2020-08-27,78,211.030000,72.457287,50.930029,5.794411,196.706000,-0.085223,3.380000
2020-08-28,80,215.710000,77.032677,52.154764,6.344893,197.142000,1.750000,4.510000
